Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2018,"6         ",Female,11,Left-Handed,146,23,131,1,Car,15,.516,65,"Martial Arts",524,754,439,316,914,845,22,"Right foot",80,83,"Ring finger",February,Summer,No,No,"No favorite",Water,Other,8,9,5,"Yes - broadband connection",,0,0,0,0,6,10,5,14,14,1,14,8,0,1.5,None,"Graduate degree",Other,Fly,Happy,Other,Health
USA,WA,2022,"11        ",Male,16,Left-Handed,180,28,186,2,Car,30,0.27,54,Golf,0,0,0,0,1000,10000,28,"Same length",100,105,"Same length",June,Fall,No,No,Meat,Water,History,5,6,5,"Yes - dial-up connection","Internet chat or instant messaging",0,4,4,4,4,4,4,4,4,4,4,4,4,4,"A lot",,"Rhythm and blues (R&B)",Fly,Rich,Actor,Other
USA,WA,2022,"12        ",Male,17,Right-Handed,180,25,170,1,Car,10,.32,57,Other,900,900,900,900,700,700,25,"Same length",7.5,7,"Index finger",April,Summer,No,No,Meat,Water,"Physical education",8,10,3,"Yes - other","Internet chat or instant messaging",75,75,4,6,5,1,8,4,8,6,3,5,24,4,Some,"Graduate degree","Rap/Hip hop","Super strength",Healthy,Teacher,"Education/Youth development"
USA,WA,2024,"11        ",Male,18,Right-Handed,185,25,172,1,Car,10,.279,64,"Football (American)",50,50,50,50,50,50,25,"Same length",104,85,"Index finger",December,Summer,No,No,Meat,Water,"Physical education",6,10,5,"Yes - broadband connection","Text messaging",12,20,10,1,0,10,2,2,5,3,0,10,20,1,"Very little","Some college","Rap/Hip hop",Fly,Rich,Relative,"Education/Youth development"
USA,WA,2015,"12        ",Male,17,Right-Handed,73,24,181,2,Bus,12,0.285,44,"Martial Arts",300,200,400,500,1000,1000,25,"Left foot",74,70,"Index finger",October,Summer,No,No,Meat,Water,History,8,12,6,"Yes - broadband connection","Text messaging",3,10,5,1,2,3,2,4,3,3,6,1,0,1,"Very little","Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person","International aid"
USA,WA,2020,"12        ",Female,16,Right-Handed,"5,5",23,,2,Walk,15,1.268,"46 ",Swimming,465,1000,1000,599,176,1000,22,"Right foot","25.4 ",,"Index finger",February,Summer,No,No,Fruit,Water,Art,5,6,3,"Yes - broadband connection","Cell phone",5,3,3,2,1,0,2,0,0,3,4,0,0,2,"A lot","High school",Reggae,Fly,Healthy,Relative,"International aid"
USA,WA,2024,"11        ",Female,17,Right-Handed,63,9,62,1,Car,8,0.35,41,Soccer,1000,722,497,583,112,770,9,"Same length",7,7.3,"Ring finger",March,Spring,No,No,Meat,"Soft drink (caffeinated)",History,7,11,4,"Yes - broadband connection","Text messaging",100+,100+,8,0,5,4,2,10,24,30,40,15,0,0,"A lot","Some college",Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,WA,2016,"6         ",Female,12,Right-Handed,153,23,27,4,Car,15,15,23,Tennis,6,2,1,6,4,6,21,"Right foot",11,13,"Index finger",June,Summer,Yes,No,Other,Water,"Physical education",8,5,4,"No internet connection","Cell phone",29,121,5,1,1,3,2,0,1,0,0,3,2,1,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,Health
USA,WA,2020,"12        ",Male,17,Right-Handed,167.6,24.13,69.85,1,Skateboard/Scooter/Rollerblade,"27 ",0.377,53,Skateboarding/Rollerblading,1000,631,551,556,0,0,24.13,"Same length",72,75,"Ring finger",September,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Music,7,9,2,"Yes - other","Text messaging",180,165,42,5,12,18,9,96,96,120,168,0,0,0,"A lot",Other,Pop,Fly,Happy,Other,"International aid"
USA,WA,2019,"12        ",Female,17,Right-Handed,164,21,165,2,Walk,5,0.462,51,Basketball,1000,1000,1000,1000,0,300,21,"Same length",75,70,"Same length",May,Summer,Yes,No,Pizza/Pasta,Water,English,7,6,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,20,4,1,4,4,0,0,4,1,1,0,4,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,WA,2021,"4         ",Female,11,Right-Handed,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2022,"11        ",Female,18,Right-Handed,5',37,0,2,Car,30,0.426,45,None,4,10,6,6,0,0,37,"Right foot",0,0,"Index finger",November,Summer,No,No,Seafood,Water,Languages,4,4,3,"No internet connection","In person",20,20,0,2,6,0,0,0,40,3,0,"0 ",28,0,"A lot","High school",Pop,"Freeze time",Rich,Other,"Wildlife, animals"
USA,WA,2022,"11        ",Male,17,Right-Handed,177,25,167.5,1,Car,10,0.557,52,"Football (American)",0,0,433,1000,0,1000,25,"Same length",72,75,"Ring finger",August,Summer,No,No,Meat,Water,History,6-8,10-12,4,"Yes - broadband connection","Cell phone",30-50,40-60,12,1,1,24,8-10,30,0,4,34,1,35-40,3,Some,Other,"Rap/Hip hop","Super strength",Rich,"Sports person",Other
USA,WA,2019,"11        ",Male,16,Right-Handed,183,12,91,1,Bus,30,0.61,45,Other,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
