Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2016,12,Female,17.0,Right-Handed,176,124,173,1,Car,15,.76,65,,700,600,500,550,1000,1000,124,Same length,76,76,Index finger,February,Fall,Yes,Yes,Breads/Sandwiches,Water,English,7,9,4,Yes - broadband connection,In person,100,100,25,1,25,40,2,0,3,10,40,5,0.0,0,A lot,Undergraduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,NY,2016,12,Male,18.0,Right-Handed,172,26,172,2,Rail (Train/Tram/Subway),25 ,.728,37,Other,350,350,400,650,900,800,26,Same length,101,100,Index finger,April,Fall,Yes,No,Meat,Water,Mathematics and statistics,5,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",21,22,9,1,1,1,7,4,15,4,25,1,15.0,1,Very little,Graduate degree,Other,Freeze time,Happy,Other,Education/Youth development
USA,NY,2020,6,Female,12.0,Right-Handed,157,,,2,Rail (Train/Tram/Subway),35,0.527,48,Other,90,75,50,50,80,20,,,,,,April,Summer,No,No,No favorite,Water,Science,10,7,5,Yes - broadband connection,In person,100,175,49,20,20,15,20,1,20,20,15,4,0.0,7,Some,Graduate degree,Other,Fly,Healthy,Actor,Health
USA,NY,2022,10,Male,16.0,Right-Handed,173,27,182,2,Rail (Train/Tram/Subway),30,0.344,35,Basketball,540,481,749,754,353,941,27,Same length,78,79,Ring finger,April,Spring,No,No,Meat,Tea,Mathematics and statistics,8,7,6,Yes - other,Internet chat or instant messaging,20,20,2,2,3,2,2,4,4,2,5,3,0.0,3,Very little,Graduate degree,Other,Freeze time,Happy,Religious figure,Religious
USA,NY,2017,12,Female,17.0,Ambidextrous,157.5,22.86,154.9,1,Bus,20,0.378,36,Soccer,1000,647,711,797,540,743,22.84,Right foot,101.6,101.6,Same length,July,Winter,Yes,No,Fruit,Water,Art,6,8,5,Yes - dial-up connection,Text messaging,34,47,2,0,8,4,1,3,7,10,3,1,0.0,1,A lot,Graduate degree,Jazz,Telepathy,Healthy,Musician or singer,Environment
USA,NY,2020,6,Female,11.0,Right-Handed,148cm,21,,1.5,Walk,7,0.321,53,Gymnastics,780,830,800,765,1000,1000,22,Left foot,,,,September,Summer,Yes,No,Seafood,Soft drink (caffeinated),Mathematics and statistics,9,10,4,Yes - other,Text messaging,6,3,4,1.5,5,7,15,.5,.2,3,6,5,0.0,3.5,Some,Graduate degree,Pop,Fly,Happy,Relative,Health
USA,NY,2014,6,Female,12.0,Right-Handed,162,24,155,2,Bus,20,1.048,45,Other,500,300,700,800,500,500,25,Left foot,7,6,Index finger,May,Summer,No,Yes,Other,Water,Languages,8,10,4,Yes - broadband connection,Text messaging,30,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,12,Female,17.0,Left-Handed,159,21,158,2,Rail (Train/Tram/Subway),30,0.702,44,Swimming,85,85,90,90,95,95,23,Left foot,79,72,Index finger,September,Winter,Yes,No,No favorite,Water,Mathematics and statistics,7,8,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",,,10,15,6,40,5,16,6,10,35,4,10.0,6,Some,Other,Other,Freeze time,Rich,Teacher,Education/Youth development
USA,NY,2021,8,Female,13.0,Right-Handed,147,24,144,2,Car,15,.324,56,Soccer,800,749,836,764,689,878,24,Same length,94,99,Ring finger,March,Winter,No,Yes,No favorite,Water,Mathematics and statistics,7,8,4,Yes - broadband connection,Text messaging,35,55,14,3,13,20,3,10,3,20,40,10,0.0,3,Some,Graduate degree,Pop,Freeze time,Happy,Business person,International aid
USA,NY,2021,11,Female,17.0,Right-Handed,165,24,29,2,Rail (Train/Tram/Subway),30,0.435,41,Walking/Hiking,200,800,200,800,1000,1000,24,Left foot,3,2,Index finger,August,Summer,No,No,Rice/Noodle dishes,Water,English,6,9,3,Yes - broadband connection,In person,60,60,6,2,6,6,2,1,8,8,8,0,0.0,0,A lot,Graduate degree,Pop,Freeze time,Healthy,Relative,Health
USA,NY,2020,10,Female,17.0,Left-Handed,144,15,30,1,Bus,10,0.842,46,Soccer,1000,1000,1000,1000,1000,1000,15,Same length,60,50,Index finger,February,Fall,No,No,Desserts,Water,History,8,9,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,0,0,2,0,0,0,6,0,6,0,0.0,1,Some,Graduate degree,Punk rock,Fly,Happy,Musician or singer,International aid
USA,NY,2018,6,Male,12.0,Right-Handed,140,21,147,2,Bus,25,0.318,61,Basketball,1000,1000,1000,1000,1000,1000,20,Right foot,60,70,Ring finger,December,Summer,Yes,No,Seafood,Other,Mathematics and statistics,11,13,9,Yes - broadband connection,Text messaging,350,200,0,2,1,4,24,24,12,12,24,12,0.0,24,,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Other,International aid
USA,NY,2024,11,Female,16.0,Right-Handed,152.4,22.86,153,2,Rail (Train/Tram/Subway),35,1.646,20,Walking/Hiking,1000,1000,1000,1000,1000,1000,22.66,Same length,6.604,6.858,Ring finger,June,Spring,No,No,Fruit,Water,Mathematics and statistics,6,7,4,Yes - broadband connection,Text messaging,20,20,3,0.1,25,6,0,0,5,5,50,1,6.0,2,A lot,Graduate degree,Pop,Telepathy,Rich,Musician or singer,Health
USA,NY,2014,9,Male,14.0,Right-Handed,168,27,168,1,Walk,10,0.573,41,Athletics,578,449,1000,267,422,497,27,Same length,6,7,Ring finger,June,Summer,No,No,Desserts,Energy drink,Physical education,10,10,4,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,10,Male,15.0,Right-Handed,165,10,100,3,Walk,1,.371,47,Other,1000,1000,500,500,10,1000,10,Same length,180,180,Same length,April,Winter,Yes,No,Meat,Water,Mathematics and statistics,9,8,5,Yes - broadband connection,In person,20,50,2,2,10,24,10,0,5,1,10,10,0.0,0,A lot,Graduate degree,Rock and roll,Fly,Happy,Sports person,Environment
USA,NY,2016,12,Female,18.0,Right-Handed,153,23,153,2,Rail (Train/Tram/Subway),30,.612,35,Other,750,700,500,500,400,450,22,Right foot,73,77,Ring finger,February,Fall,Yes,No,Seafood,Coffee,History,5,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",75,75,16,1,20,2,1,2,40,60,60,3,0.0,2,A lot,Graduate degree,Pop,Freeze time,Happy,Relative,Education/Youth development
USA,NY,2014,6,Female,12.0,Right-Handed,154,30,141,2,Car,3,0.909,29,Swimming,0,1000,1000,1000,0,1000,32,Left foot,,60.5,Ring finger,March,Summer,No,No,Desserts,Juice,Mathematics and statistics,9,11,4,Yes - broadband connection,Text messaging,5,2,0,1,3,0,0,2,1,1,0,3,0.0,1,,Less than high school,Other,Fly,Famous,Actor,Education/Youth development
USA,NY,2019,6,Male,12.0,Right-Handed,176,27,172,2,Car,6,.443,34,Basketball,1000,800,900,560,300,300,28,Left foot,90,90,Same length,October,Fall,Yes,No,Meat,Water,Mathematics and statistics,8,9,6,Yes - broadband connection,E-mail,0,0,60,0,6,18,20,8,10,20,50,10,0.0,3,Very little,Other,Rap/Hip hop,Telepathy,Happy,Sports person,Health
USA,NY,2017,12,Male,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,12,Female,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,11,Female,16.0,Right-Handed,AC,28,27,3,Bus,20,0.519,31,Walking/Hiking,1000,1000,1000,950,400,400,23,Right foot,65,72,Ring finger,December,Spring,Yes,,Rice/Noodle dishes,Coffee,Art,6,11,3,Yes - broadband connection,Internet chat or instant messaging,75,75,35,4,24,7,8,0,20,6,46,7,0.0,5,A lot,Some college,Pop,Fly,Happy,Musician or singer,Health
USA,NY,2021,12,Female,17.0,Right-Handed,162,21,162,2,Rail (Train/Tram/Subway),40,0.35,34,Walking/Hiking,717,444,316,316,1000,1000,21,Same length,70,68,Index finger,May,Fall,No,No,Pizza/Pasta,Water,Science,7,8,3,Yes - broadband connection,Text messaging,60,150,20,20,12,3,0,0,16,9 ,40,27,0.0,6,A lot,Graduate degree,Other,Freeze time,Happy,Actor,Health
