Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2012,"11        ",Male,17,Right-Handed,182.8,30.48,183,2,Car,12,.2,36,"Football (American)",900,753,722,800,750,845,29.89,"Right foot",80,82,"Ring finger",November,Winter,No,No,Meat,Water,History,8,6,3,"Yes - broadband connection","In person",100,104,36,4,3,5,30,3,30,30,10,6,36,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Environment
USA,TX,2011,"12        ",Male,18,Right-Handed,177.8,27,180,2,Bus,45,.214,35,"Football (American)",950,250,100,,880,999,27,"Same length",8,8,"Same length",January,Winter,No,No,Meat,Water,"Mathematics and statistics",6,13,6,"Yes - other","In person",40,45,40,4,20,1,0,3,2,10,30,25,0,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,,Health
USA,TX,2013,"12        ",Female,17,Left-Handed,178,25,175,1,Car,23,0.413,58,Tennis,877,856,870,870,760,600,24,"Left foot",67,74,"Ring finger",March,Summer,Yes,No,Fruit,Water,"Physical education",7,9,3,"Yes - broadband connection","Text messaging",25,25,7,4,5,5,15,0,3,6,18,9,5,5,"A lot","Graduate degree",Country,Telepathy,Happy,"Coach or club leader","International aid"
USA,TX,2021,"12        ",Female,17,Right-Handed,157,24,120,1,Car,12,.745,46,Baseball/Softball,700,700,300,0,300,700,24,"Same length",80,80,"Same length",April,Fall,Yes,No,Seafood,"Soft drink (caffeinated)",Other,8,6,4,"Yes - other","Text messaging",40,40,4,2,12,12,10,0,2,2,10,20,20,5,"Very little","Graduate degree","Rock and roll",Fly,Happy,"Musician or singer","Arts, culture, sports"
USA,TX,2024,"10        ",Female,15,Right-Handed,161,24,158,3,Bus,20,.379,40,Athletics,700,800,600,600,100,200,25,"Left foot",70,75,"Ring finger",October,Fall,No,No,Seafood,Water,"Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",30,30,3,1,17,10,5,0,4,9,39,6,0,4,"A lot","Graduate degree",Classical,"Freeze time",Rich,Relative,"Wildlife, animals"
USA,TX,2012,"11        ",Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2023,"12        ",Female,17,Right-Handed,,,,2,Car,30,,,None,1000,1000,1000,1000,500,1000,,"Same length",,,"Index finger",December,Summer,No,No,Pizza/Pasta,,History,,,2,"Yes - other","Internet chat or instant messaging",,,,,,,,,,,,,,,Some,"Some college","Punk rock",Telepathy,Happy,Relative,"Wildlife, animals"
USA,TX,2019,"12        ",Female,17,Right-Handed,160,24.6,,1,Car,3,0.414,42,Athletics,1000,1000,930,807,626,81,24,"Right foot",177.8,203.2,"Ring finger",November,Fall,No,No,Pizza/Pasta,Water,English,7,8,4,"Yes - broadband connection","Text messaging",10,15,3,2,6,9,4,2,15,9,5,6,0,6,Some,"Graduate degree","Rock and roll",Fly,Happy,"Doctor or nurse","Wildlife, animals"
USA,TX,2013,"5         ",Male,11,Right-Handed,155,20,150,1,Car,30,0.688,71,Basketball,50,100,100,50,100,100,20,"Right foot",30,30,"Same length",April,Summer,No,No,Pizza/Pasta,Water,"Social studies",9,5,3,"Yes - broadband connection",Other,0,0,1,2,4,168,4,5,0,0,2,22,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Famous,"Sports person",Other
USA,TX,2016,"5         ",Female,11,Right-Handed,165,21,149,1,Bus,48,0.51,0.58,Basketball,937,200,449,735,999,1000,21,"Same length",90,70,"Index finger",December,Winter,No,No,Meat,Water,"Physical education",8,12,4,"Yes - other","Text messaging",29,20,40,3,20,10,15,15,12,100,12,34,0,10,Some,"Graduate degree",Pop,Invisibility,Healthy,"Sports person",Other
USA,TX,2012,"12        ",Male,17,Right-Handed,175.3,18,72.7,2,Car,22,.155,30,Tennis,900,900,800,800,1000,1000,20,"Left foot",100,105,"Ring finger",October,Fall,No,No,Meat,Water,Other,7,8,4,"Yes - broadband connection","Text messaging",300,300,30,10,2,3,35,15,5,70,15,5,0,8,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Environment
USA,TX,2015,"12        ",Female,17,Right-Handed,160,24,159,2,Car,7,.546,40,Other,1,2,3,4,5,6,24,"Same length",75,70,"Index finger",December,Fall,No,No,"Rice/Noodle dishes",Water,Music,8,10,4,"Yes - broadband connection","In person",5,8,3,0,4,2,8,0,2,1,3,4,0,3,Some,"Graduate degree",Classical,Invisibility,Happy,Teacher,"Arts, culture, sports"
USA,TX,2013,"5         ",Male,11,Right-Handed,145,149,147,2,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2023,"12        ",Female,16,Right-Handed,62,24,154,2,Car,16,.324,58,Athletics,530,570,600,670,0,0,24,"Same length",65,70,"Ring finger",May,Spring,No,No,"No favorite","Soft drink (caffeinated)","Mathematics and statistics",6,8,6,,"Text messaging",300,336,10,5,3,15,8,0,30,15,20,17,0,5,Some,"Graduate degree",Country,"Freeze time",Healthy,"Coach or club leader","Wildlife, animals"
USA,TX,2014,"12        ",Female,17,Right-Handed,66,30,166,1,Car,7,1.88,54,Dancing,700,900,1000,1000,100,300,32,"Same length",76.2,76.4,"Ring finger",April,Fall,Yes,No,Pizza/Pasta,Water,Science,7,10,4,"Yes - broadband connection","Text messaging",100,120,5,2,7,10,10,0,3,8,0,1,15,2,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"Education/Youth development"
USA,TX,2024,"12        ",Female,17,Right-Handed,157,22,157,1,Car,15,0.345,34,Basketball,1000,1000,866,674,150,513,22,"Same length",30,30,,May,Winter,No,No,Other,Water,Music,8,5,3,"Yes - broadband connection","Text messaging",30,35,8,2,1,7,3,5,5,2,5,1,0,2,Some,"Graduate degree","Punk rock",Fly,Healthy,Relative,Other
USA,TX,2018,"12        ",Female,18,Right-Handed,160,21,53,2,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2018,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
