Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
VA,Male,Right-Handed,Skateboarding/Rollerblading,900.0,June,Powdered drink,Music,11.0,15.0,15.0,Undergraduate degree
VA,Female,Right-Handed,Other activities/sports,684.0,December,Milk,Music,7.0,1.0,1.0,Graduate degree
VA,Female,Right-Handed,Dancing,500.0,May,Coffee,Art,8.0,15.0,2.0,Graduate degree
VA,Female,Right-Handed,Soccer,1000.0,December,Juice,History,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,800.0,July,Tea,Art,9.0,15.0,2.0,Undergraduate degree
VA,Male,Right-Handed,Other activities/sports,401.0,November,Soft drink (caffeinated),Other,11.0,0.0,0.0,Graduate degree
VA,Female,Left-Handed,Other activities/sports,900.0,September,Juice,Physical education,9.0,5.0,3.0,Graduate degree
VA,Female,Right-Handed,Dancing,1000.0,August,Water,History,11.0,4.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,1000.0,April,Water,Science,12.0,30.0,30.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,10.0,April,Soft drink (non-caffeinated),English,9.0,9.0,9.0,Undergraduate degree
VA,Female,Right-Handed,Other activities/sports,500.0,February,Water,Mathematics and statistics,9.0,15.0,2.0,Graduate degree
VA,Female,Right-Handed,Baseball/Softball,230.0,May,Water,English,10.0,27.0,27.0,Graduate degree
VA,Female,Ambidextrous,Swimming,1000.0,December,Water,History,8.0,15.0,15.0,Graduate degree
VA,Female,Right-Handed,Running/Jogging,487.0,December,Water,Music,8.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,925.0,February,Water,Art,7.0,25.0,2.0,Undergraduate degree
VA,Female,Right-Handed,Walking/Hiking,936.0,November,Water,History,8.0,5.0,5.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,700.0,April,Water,Mathematics and statistics,9.0,0.0,2.0,Graduate degree
VA,Male,Right-Handed,Skateboarding/Rollerblading,428.0,April,Tea,Computers and technology,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Lacrosse,700.0,June,Juice,Social studies,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Basketball,900.0,March,Water,Science,6.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Football (American),400.0,September,Water,History,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,3.0,July,Water,Other,8.0,0.0,2.0,Undergraduate degree
VA,Female,Right-Handed,Dancing,727.0,January,Water,Mathematics and statistics,8.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,561.0,October,Water,History,10.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Baseball/Softball,1000.0,November,Water,Science,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,700.0,November,Water,Art,9.0,0.0,0.0,Graduate degree
VA,Female,Left-Handed,Dancing,150.0,January,Soft drink (caffeinated),History,14.0,5.0,5.0,Some college
VA,Male,Left-Handed,Baseball/Softball,500.0,January,Water,Physical education,8.5,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,800.0,April,Water,Physical education,6.0,0.0,3.0,Graduate degree
VA,Female,Right-Handed,Bowling,578.0,July,Water,Science,9.0,7.0,2.0,High school
VA,Male,Ambidextrous,Basketball,1000.0,March,Water,History,7.0,2.0,3.0,High school
VA,Male,Right-Handed,Football (American),1000.0,July,Water,Physical education,10.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Football (American),200.0,January,Water,History,10.0,1.0,1.0,Graduate degree
VA,Female,Right-Handed,Lacrosse,1000.0,July,Water,Social studies,7.0,10.0,10.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,0.0,October,Water,Mathematics and statistics,10.0,0.0,2.0,Graduate degree
VA,Female,Right-Handed,Soccer,556.0,June,Coffee,Social studies,9.0,10.0,10.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,50.0,November,Water,History,10.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Walking/Hiking,700.0,August,Water,Science,9.0,12.0,12.0,Graduate degree
VA,Male,Right-Handed,Soccer,456.0,March,Water,History,9.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Running/Jogging,700.0,June,Milk,Science,7.0,30.0,2.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,1000.0,June,Water,Social studies,10.0,24.0,24.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,950.0,March,Juice,Other,8.0,5.0,5.0,Graduate degree
VA,Male,Right-Handed,Football (American),750.0,September,Water,Art,5.0,15.0,15.0,High school
VA,Male,Right-Handed,Football (American),0.0,October,Tea,History,6.0,30.0,30.0,High school
VA,Female,Right-Handed,Walking/Hiking,701.0,May,Tea,Music,9.0,3.0,3.0,Undergraduate degree
VA,Female,Right-Handed,Other activities/sports,500.0,January,Coffee,Science,8.0,18.0,18.0,Graduate degree
VA,Male,Right-Handed,Basketball,738.0,December,Water,Mathematics and statistics,8.0,5.0,3.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,4.0,September,Juice,Physical education,12.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Swimming,1000.0,March,Water,Science,8.0,20.0,20.0,Graduate degree
VA,Male,Right-Handed,Basketball,562.0,May,Milk,English,7.0,0.0,0.0,Graduate degree
VA,Male,Left-Handed,Basketball,600.0,December,Sports drink,Physical education,10.0,25.0,25.0,Graduate degree
