Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2022,""12        "",Female,17,Left-Handed,167,24,172,2,Car,5,0.419,36,Tennis,834,861,524,342,246,786,24,""Same length"",80,75,""Index finger"",May,Fall,Yes,No,Pizza/Pasta,Water,History,8,8,3,""Yes - other"",""In person"",25,30,10,3,6,10,3,0,4,5,9,12,0,4,""A lot"",""Graduate degree"",Reggae,""Freeze time"",Happy,Other,""Wildlife, animals"""
"USA,VA,2023,""12        "",Male,17,Right-Handed,64,24,69,2,Car,13,0.396,40,Soccer,1000,1000,1000,1000,800,700,24,""Same length"",70,70,""Same length"",June,Fall,Yes,No,Pizza/Pasta,Water,""Physical education"",6,10,4,""Yes - other"",""Text messaging"",25,30,7,8,3,1,2,5,2,1,4,4,0,3,""A lot"",""High school"",""Rock and roll"",Invisibility,Rich,""Sports person"",Health"
"USA,VA,2017,""11        "",Male,17,Right-Handed,173,29,175,2,Car,10,0.296,38,Running/Jogging,100,250,10,1,800,1000,29,""Same length"",80,75,""Index finger"",March,Summer,No,No,Fruit,Water,""Computers and technology"",6.5,9,2,""Yes - broadband connection"",""Internet chat or instant messaging"",50,30,5,0.5,3,0.5,15,5,5,2,5,0,0,2,Some,""Some college"",""Rap/Hip hop"",""Freeze time"",Happy,""Musician or singer"",""Wildlife, animals"""
"USA,VA,2015,""12        "",Male,17,Right-Handed,175,25,169,2,Car,10,.322,42.2,Walking/Hiking,869,754,600,850,999,999,25,""Same length"",100,111,""Ring finger"",March,Winter,Yes,No,Seafood,Water,History,9,10,5,""Yes - broadband connection"",""In person"",30,500,10,1,5,6,20,0,10,2,5,1,5,0,Some,""Graduate degree"",Country,""Freeze time"",Happy,Relative,Health"
"USA,VA,2023,""11        "",Male,16,Right-Handed,187,27,190,1,Car,13,.5,55,Lacrosse,2,6,1,3,4,5,27,""Same length"",130,110,""Ring finger"",January,Fall,No,No,Meat,Water,""Social studies"",8,12,3,""Yes - other"",""Text messaging"",5,4,12,0,3,2,1,1,0,1,1,0,40,4,""A lot"",""Some college"",""Rap/Hip hop"",""Freeze time"",Rich,""Community leader or elder"",Health"
"USA,VA,2015,""12        "",Female,16,Right-Handed,164,22,164,1,Car,10,.442,38,Walking/Hiking,765,749,770,781,401,412,21,""Right foot"",7,7,""Same length"",November,Fall,Yes,No,Desserts,Coffee,Science,6,10,3,""Yes - broadband connection"",""Cell phone"",100,100,10,2,5,5,0,0,10,25,10,10,16,2,Some,""Graduate degree"",""Punk rock"",Telepathy,Happy,Relative,""International aid"""
"USA,VA,2017,""12        "",Male,18,Right-Handed,186,26,173,1,Car,10,.444,42,Golf,0,0,0,0,50,90,28,""Left foot"",75,75,""Same length"",October,Summer,Yes,No,Meat,Milk,""Social studies"",7,10,2,""Yes - broadband connection"",""Text messaging"",100,300,13,.5,20,14,13,4,4,4,6,7,0,1,""A lot"",""Graduate degree"",""Rap/Hip hop"",Fly,Rich,Politician,Other"
"USA,VA,2021,""12        "",Female,16,Right-Handed,158,250,,2,Bus,30,0.591,60,Other,1000,1000,1000,1000,1000,1000,250,""Same length"",.,.,""Same length"",February,Spring,No,Yes,""No favorite"",Other,Other,2,8,1,""Yes - broadband connection"",""Text messaging"",222,2222,1,1,1,1,1,1,1,1,1,1,1,1,""A lot"",Other,Other,""Freeze time"",Happy,Other,Other"
"USA,VA,2015,""12        "",Female,17,Right-Handed,164.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,VA,2023,""12        "",Female,16,Right-Handed,168,27,160,1,Car,8,0.382,40,Walking/Hiking,936,850,850,652,144,957,26,""Right foot"",88,80,""Index finger"",November,Fall,No,Yes,Breads/Sandwiches,Water,History,4,8,5,""Yes - broadband connection"",""Text messaging"",100,150,5,1,8,3,15,2,18,6,7,5,5,1,""A lot"",""Graduate degree"",Pop,Telepathy,Happy,Friend,Environment"
