Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
WA,Male,Right-Handed,Football (American),95.0,October,Tea,History,6.0,3.0,7.0,Graduate degree
WA,Male,Ambidextrous,Walking/Hiking,1000.0,November,Water,English,10.0,0.0,5.0,Undergraduate degree
WA,Male,Ambidextrous,Martial Arts,1000.0,May,Water,History,10.0,36.0,16.0,Graduate degree
WA,Male,Right-Handed,Athletics (Track & Field),300.0,February,Soft drink (caffeinated),History,8.0,20.0,4.0,Some college
WA,Male,Right-Handed,Other activities/sports,1000.0,October,Water,Physical education,12.0,2.0,6.0,Some college
WA,Male,Right-Handed,Other activities/sports,783.0,April,Water,Other,9.0,40.0,1.0,High school
WA,Female,Right-Handed,Walking/Hiking,700.0,July,Water,History,11.0,0.0,3.0,Graduate degree
WA,Male,Right-Handed,Walking/Hiking,500.0,May,Sports drink,Physical education,6.0,2.0,2.0,High school
WA,Male,Right-Handed,Other activities/sports,256.0,April,Powdered drink,Other,9.0,1.0,5.0,High school
WA,Male,Right-Handed,Walking/Hiking,1000.0,February,Water,Science,12.0,0.0,2.0,Graduate degree
WA,Male,Right-Handed,Soccer,200.0,September,Water,Physical education,9.0,1.0,4.0,Graduate degree
WA,Female,Right-Handed,Soccer,800.0,January,Water,Mathematics and statistics,9.0,0.0,2.0,Graduate degree
WA,Male,Right-Handed,Baseball/Softball,900.0,October,Water,Physical education,9.0,0.0,8.0,Other
WA,Female,Left-Handed,Walking/Hiking,738.0,December,Energy drink,History,9.0,9.0,10.0,Undergraduate degree
WA,Female,Right-Handed,Other activities/sports,500.0,December,Energy drink,History,9.0,7.0,2.0,Graduate degree
WA,Male,Right-Handed,Running/Jogging,610.0,August,Water,Science,7.0,0.0,1.0,Graduate degree
WA,Male,Right-Handed,Other activities/sports,500.0,October,Soft drink (caffeinated),Other,10.0,0.0,2.0,High school
WA,Female,Right-Handed,Walking/Hiking,850.0,February,Water,Art,7.0,12.0,6.0,Some college
