Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2017,"5         ",Male,11,Right-Handed,134,21,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,VA,2016,"12        ",Female,17,,160,24,162,1,Car,5,.566,56,Athletics,1000,1000,1000,1000,1000,1000,24,"Same length",70,79,"Ring finger",October,Fall,No,Yes,Pizza/Pasta,Water,,7,5,3,"Yes - broadband connection","Text messaging",150,1000,15,1,17,10,12,0,5,4,4,6,15,5,"A lot","Undergraduate degree",Other,Invisibility,Happy,Other,"International aid"
USA,VA,2017,"12        ",Female,16,Right-Handed,160,24,168,2,Car,20,.427,44,Gymnastics,,,,,,,24,"Same length",71,72,"Ring finger",October,Fall,No,No,Meat,"Sports drink",Languages,4,10,5,"Yes - other","Cell phone",45,45,70,10,25,10,15,0,20,30,25,20,10,15,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,Actor,"Education/Youth development"
USA,VA,2014,"11        ",Male,16,Right-Handed,183,26.5,182,1,Car,15,0.063,46,Baseball/Softball,500,500,500,500,200,200,26.5,"Same length",84,83,"Ring finger",July,Summer,No,No,Poultry,"Soft drink (caffeinated)",Other,7,4,3,"Yes - broadband connection","Text messaging",200,202,60,3,0,0,3,0,0,6,0,1,8,24,Some,"Some college",Country,"Super strength",Happy,Teacher,"Education/Youth development"
USA,VA,2017,"12        ",Female,17,Left-Handed,171,24,173,1,Car,13,.34,36,Swimming,700,1000,400,300,800,800,24,"Same length",75,73,"Index finger",August,Winter,Yes,No,Seafood,Water,Science,6,9,4,"Yes - broadband connection","Text messaging",20,20,2,1,10,4,20,0,6,1,10,4,0,3,"A lot","Graduate degree",Country,Telepathy,Healthy,Other,Health
USA,VA,2019,"12        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,VA,2018,"12        ",Female,18,Right-Handed,160.2,,153,23,Car,17,.0441,37,Other,500,500,500,500,600,700,23,,66,67,"Index finger",October,Summer,No,Yes,"Rice/Noodle dishes",Water,"Mathematics and statistics",4,13,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",60,65,95,15,10,17,12,8,160,160,160,28,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Actor,Health
USA,VA,2024,"12        ",Female,17,Left-Handed,156.2,22,149,1,Car,15-20,0.357,47,Other,813,695,936,743,524,572,22,"Same length",76.2,72,"Index finger",May,Winter,Yes,No,"Rice/Noodle dishes",Tea,Music,5-6,9-11,3,"Yes - broadband connection","In person",10,15,10,3,5,20,2,5,20,4,40,8,5,2,Some,"Graduate degree",Jazz,Invisibility,Happy,Friend,Health
USA,VA,2017,"5         ",Male,10,Left-Handed,141,33,141,2,Car,7,0.471,56,Soccer,600,500,1000,900,10,10,33,"Same length",31,,"Ring finger",May,Summer,No,No,"No favorite",Milk,"Physical education",9,5,5,"Yes - broadband connection","In person",1,20,45,0,1,20,100,4,0,1,0,40,0,3.5,"A lot","Graduate degree",Pop,Fly,Healthy,"Sports person","Wildlife, animals"
USA,VA,2023,"11        ",Male,17,Right-Handed,"183 c","28 cm",190cm,1,Car,"7 min",0.357,"39 ",Basketball,765,759,765,781,444,439,"26 cm","Right foot","50 mm","60 mm","Ring finger",February,Summer,Yes,No,Meat,Water,History,7,8,3,"Yes - broadband connection","Text messaging",4,4,4,1,1,2,5,0,0,7,1,1,0,0,Some,"High school","Rap/Hip hop",Invisibility,Happy,"Sports person","Education/Youth development"
