Region;Gender;Handed;Favourite_physical_activity;Importance_reducing_pollution;Birth_month;Beverage;Favorite_School_Subject;Sleep_Hours_Non_Schoolnight;Paid_Work_Hours;Work_At_Home_Hours;Planned_Education_Level
NY;Female;Right-Handed;Lacrosse;0;March;Soft drink (caffeinated);English;9;25;25;Graduate degree
NY;Male;Right-Handed;Other;1000;November;Soft drink (non-caffeinated);History;9;0;1;Graduate degree
NY;Male;Left-Handed;Basketball;802;December;Milk;Physical education;7;0;2;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;620;June;Soft drink (non-caffeinated);Physical education;10;14;0;Graduate degree
NY;Male;Right-Handed;Dancing;1000;November;Water;Music;10;0;2;Undergraduate degree
NY;Female;Right-Handed;Tennis;500;February;Water;Mathematics and statistics;10;0;0;Graduate degree
NY;Female;Right-Handed;Other;1000;January;Water;Mathematics and statistics;11;0;7;Graduate degree
NY;Female;Right-Handed;Swimming;706;September;Milk;Science;9;0;3;
NY;Male;Ambidextrous;Athletics;;November;Water;Physical education;10;0;7;Other
NY;Female;Right-Handed;Other;40;May;Other;Mathematics and statistics;10;0;7;Graduate degree
NY;Female;Right-Handed;Skateboarding/Rollerblading;100;November;Water;Physical education;10;0;20;Graduate degree
NY;Male;Right-Handed;Soccer;999;;;;;;;
NY;Female;Right-Handed;Other;631;June;Milk;English;12;;;
NY;Male;Right-Handed;Cycling;900;February;Soft drink (non-caffeinated);History;9;16;2;Graduate degree
NY;Male;Right-Handed;Martial Arts;500;November;Energy drink;Other;11;2;0;Graduate degree
NY;Male;Right-Handed;Basketball;800;June;Water;Mathematics and statistics;10;0;0;Graduate degree
NY;Male;Right-Handed;Basketball;1.000;June;Juice;Art;9;0;0;Graduate degree
NY;Male;Right-Handed;Soccer;500;February;Water;Science;12;0;12;Graduate degree
NY;Male;Right-Handed;Other;700;December;Energy drink;Music;12;0;7;Graduate degree
NY;Male;Right-Handed;Other;900;August;Water;English;11;0;3,5;Other
NY;Male;Right-Handed;Basketball;310;June;Water;Other;8;16;2;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;75;January;;Art;6;1;1;Some college
NY;Male;Left-Handed;Baseball/Softball;700;April;Water;Science;10;2;2;Graduate degree
NY;Male;Right-Handed;Tennis;1000;November;Water;Mathematics and statistics;7;15;4;Graduate degree
NY;Female;Right-Handed;Hockey (Field);700;February;Water;Science;7;5;2;Graduate degree
NY;Male;Ambidextrous;Football (American);700;August;Water;Physical education;9;0;5;Graduate degree
NY;Female;Right-Handed;Basketball;900;January;Milk;English;10;0;6;Other
NY;Female;Left-Handed;Cycling;1000;June;Tea;History;10;;;
NY;Female;Right-Handed;Swimming;800;August;Water;History;10;7;10;Graduate degree
NY;Male;Right-Handed;Basketball;1000;April;Milk;Science;9;2;5;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;300;May;Sports drink;History;10;10;1;Graduate degree
NY;Female;Left-Handed;Athletics;872;October;Soft drink (caffeinated);History;9;2;1;Graduate degree
NY;Male;Right-Handed;Hockey (Field);1000;October;;;;;;
NY;Male;Right-Handed;Martial Arts;800;April;Soft drink (non-caffeinated);Art;8;0;1;Graduate degree
NY;Female;Right-Handed;Cycling;;June;Water;History;9;0;2;Graduate degree
NY;Female;Right-Handed;Gymnastics;500;;;;;;;
NY;Male;Right-Handed;None;80;April;Water;History;8;0;1;Some college
NY;Male;Right-Handed;Baseball/Softball;500;January;Water;Social studies;10;1;5;Some college
NY;Female;Right-Handed;Walking/Hiking;1000;November;Tea;English;7;0;7;Graduate degree
NY;Male;Right-Handed;Hockey (Ice);1000;February;Water;Physical education;9;4;1;Graduate degree
NY;Male;Left-Handed;Basketball;500;September;Water;History;09-oct;0;04-may;
NY;Female;Right-Handed;Gymnastics;706;September;Water;Social studies;10;5;10;Graduate degree
NY;Female;Right-Handed;Martial Arts;800;April;Water;Science;8,5;0;1;Graduate degree
NY;Male;Right-Handed;Other;1000;November;Water;Science;7;;;
NY;Male;Right-Handed;Tennis;1000;March;Water;Mathematics and statistics;8;0;0;Undergraduate degree
NY;Female;Right-Handed;Hockey (Field);529;November;Tea;Art;11;0;2;Some college
NY;Male;Right-Handed;Soccer;80;January;Tea;Physical education;5;8;0;Graduate degree
NY;Female;Right-Handed;Baseball/Softball;1000;December;Water;Mathematics and statistics;10;;;Graduate degree
NY;Male;Right-Handed;Basketball;1000;September;Tea;History;11;48;98;High school
NY;Male;Right-Handed;Basketball;800;February;Water;Mathematics and statistics;3;0;13;Graduate degree
NY;Female;Right-Handed;Swimming;1000;December;Water;Science;9;0;4;Undergraduate degree
NY;Female;Right-Handed;Dancing;500;February;Water;English;11;13;3;Graduate degree
NY;Male;Right-Handed;Skateboarding/Rollerblading;800;June;Water;Science;9;0;0;Graduate degree
NY;Male;Right-Handed;Tennis;700;December;Water;Mathematics and statistics;9;0;0;Graduate degree
NY;Female;Right-Handed;Tennis;1000;November;Water;English;12;0;1;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;658;;;;;;;
NY;Male;Right-Handed;Basketball;369;March;Juice;History;10;0;3;Graduate degree
NY;;;;;;;;;;;
NY;Female;Right-Handed;Lacrosse;900;August;Water;Physical education;11;0;1;Graduate degree
NY;Male;Right-Handed;Soccer;818;March;Water;Science;9;;;
NY;Male;Right-Handed;Soccer;700;November;Water;History;8;0;3;Undergraduate degree
NY;Female;Right-Handed;Hockey (Field);800;June;Water;Other;9;0;0;Graduate degree
NY;Female;Right-Handed;Athletics;1000;August;Water;Mathematics and statistics;12;0;5;Graduate degree
NY;Male;Right-Handed;Martial Arts;1000;September;Water;Physical education;10;0;2;Graduate degree
NY;Female;Right-Handed;Baseball/Softball;845;February;Water;Science;9;0;7;Graduate degree
NY;Female;Right-Handed;Lacrosse;1000;February;Water;Social studies;9;0;7;Graduate degree
NY;Male;Right-Handed;Golf;1000;November;Milk;Other;10;;;Graduate degree
NY;Female;Right-Handed;Other;1000;February;Water;Mathematics and statistics;9;6;3;Graduate degree
NY;Male;Right-Handed;Swimming;1000;March;Juice;Science;9;0;2;Graduate degree
NY;Male;Right-Handed;Golf;1000;May;Water;Physical education;9;1;1;Graduate degree
NY;Male;Right-Handed;Football (American);487;;;;;;;
NY;Male;Right-Handed;;;;;;;;;
NY;Male;Left-Handed;Soccer;900;December;Water;Social studies;12;0;5;Graduate degree
NY;Male;Right-Handed;Basketball;;May;Soft drink (caffeinated);History;9;0;0;Graduate degree
NY;Female;Right-Handed;Dancing;1000;June;Tea;Social studies;4;0;1;Other
NY;Male;Right-Handed;Basketball;500;July;Water;Computers and technology;8;0;2;Undergraduate degree
NY;Female;Right-Handed;Dancing;465;December;Milk;Science;11;0;3;Graduate degree
NY;Male;Right-Handed;Other;650;March;Water;Social studies;12;0;3;Graduate degree
NY;Male;Right-Handed;Soccer;500;July;Water;Science;3;3;3;Other
NY;Male;Right-Handed;Hockey (Ice);1000;September;Water;Physical education;12;0;1;Some college
NY;Female;Ambidextrous;Athletics;1000;May;Water;Physical education;8;1;12;Graduate degree
NY;Female;Right-Handed;Other;438;January;Water;English;8;10;3;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;900;July;Water;Computers and technology;6;0;10;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;743;;;;;;;
NY;Male;Right-Handed;Swimming;825;January;Water;History;9;0;5;Graduate degree
NY;Male;Right-Handed;Soccer;500;November;Water;English;12;0;1;Some college
NY;Female;Ambidextrous;Soccer;631;May;Water;Science;8;;;
NY;Female;Right-Handed;Swimming;900;May;Water;Physical education;8;12;2;Graduate degree
NY;Male;Right-Handed;Athletics;700;July;Water;Science;6;0;7;Graduate degree
NY;Female;;Soccer;1000;December;Soft drink (caffeinated);Other;5;5;5;Graduate degree
NY;Male;Right-Handed;Soccer;970;June;Water;Social studies;9;1;2;Other
NY;Male;;;;;;;;;;
NY;Male;Right-Handed;None;825;August;Juice;Science;8;0;0;Graduate degree
NY;Female;Right-Handed;None;647;March;Water;English;9,5;0;5;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;500;October;Coffee;;7;2;2;Graduate degree
NY;Male;Right-Handed;;;;;;;;;
NY;Female;Right-Handed;Tennis;866;August;Tea;Science;8;0;8;Graduate degree
NY;Male;Right-Handed;Football (American);1000;September;Water;Physical education;5;0;0;Graduate degree
NY;Male;Right-Handed;Martial Arts;650;;;;;;;
NY;Male;Right-Handed;Baseball/Softball;807;November;Water;Science;10;0;4;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;604;July;Water;History;9;0;21;Graduate degree
NY;Male;Right-Handed;Football (American);850;November;Water;Science;8,5;0;1;Undergraduate degree
NY;Male;Right-Handed;Basketball;700;July;Juice;Physical education;3;1;2;Some college
NY;Male;Right-Handed;Basketball;500;January;Water;History;13;4;2;Graduate degree
NY;Male;Right-Handed;Tennis;60;;;;;;;
NY;Male;Right-Handed;Walking/Hiking;900;April;Soft drink (caffeinated);History;9;0;0;Graduate degree
NY;Female;Right-Handed;Baseball/Softball;400;August;Juice;Languages;10;1;3;Graduate degree
NY;Male;Right-Handed;Tennis;684;;;;;;;
NY;Female;Right-Handed;;100;April;Water;Other;13;0;2 hr;Other
NY;Male;Ambidextrous;Basketball;900;February;Water;Science;9;30;10;Other
NY;Female;Right-Handed;Walking/Hiking;1000;April;Coffee;Science;9;0;2;Graduate degree
NY;Male;Right-Handed;Basketball;750;November;Water;English;8;0;2;Undergraduate degree
NY;Female;Right-Handed;;;;;;;;;
NY;Male;Right-Handed;Basketball;800;December;Water;Social studies;10;0;0;Graduate degree
NY;Male;Left-Handed;;;;;;;;;
NY;Male;Right-Handed;Basketball;1000;January;Juice;Physical education;9;0;1;Graduate degree
NY;Male;Right-Handed;Martial Arts;1000;October;Water;Art;3;0;1;Other
NY;Female;Right-Handed;Other;1.000;June;Soft drink (non-caffeinated);Science;13;1;1;
NY;Female;Right-Handed;Hockey (Field);1000;August;Water;English;9;2;1;Graduate degree
NY;Male;Right-Handed;Walking/Hiking;800;;;;;;;
NY;Female;Left-Handed;Hockey (Field);700;April;Water;Languages;9;20;2;Graduate degree
NY;Male;Ambidextrous;Hockey (Ice);100;June;Sports drink;Physical education;6;1;2;Graduate degree
NY;Male;Left-Handed;Walking/Hiking;1000;November;Water;History;10;5;5;High school
NY;Male;Right-Handed;Soccer;1000;January;Water;Computers and technology;10;;;
NY;Female;Right-Handed;Martial Arts;900;April;Tea;Music;11;9;10;Other
NY;Male;Right-Handed;Soccer;1;June;Water;Music;9;0;0,5;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;900;July;Water;Computers and technology;6;0;10;Graduate degree
NY;Female;Right-Handed;Dancing;727;January;Coffee;Social studies;7;22;2;Undergraduate degree
NY;Male;Left-Handed;Baseball/Softball;0;March;Water;Physical education;9;0;10;Undergraduate degree
NY;Male;Right-Handed;Bowling;750;February;Water;History;10;7;5;Graduate degree
NY;Male;Right-Handed;Soccer;797;July;Juice;Mathematics and statistics;11;15;2;Graduate degree
NY;Male;Right-Handed;Soccer;465;May;Water;English;9;0;3;Graduate degree
NY;Male;Right-Handed;Swimming;668;September;Water;Mathematics and statistics;9;9;2;Graduate degree
NY;Female;;;;;;;;;;
NY;Male;Right-Handed;Other;797;August;Water;Other;10;0;0;Graduate degree
NY;Female;Right-Handed;Other;807;September;Tea;Art;8;0;3;Graduate degree
NY;Male;Right-Handed;None;332;August;Water;Other;10;0;2;Graduate degree
NY;Male;Right-Handed;Running/Jogging;1000;June;Water;Art;8;0;4;Undergraduate degree
NY;Male;Left-Handed;Athletics;900;January;Water;Science;8;5;2;Undergraduate degree
NY;Female;Right-Handed;Swimming;100;August;Water;History;10;0;1;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;900;May;Water;English;8;0;4;Graduate degree
NY;Male;Right-Handed;Other;973;September;Tea;Mathematics and statistics;6;0;0;Graduate degree
NY;Female;Right-Handed;Cycling;750;November;Water;Mathematics and statistics;8;0;5;Graduate degree
NY;Male;Right-Handed;Skateboarding/Rollerblading;700;August;Water;Computers and technology;5;0;0;Graduate degree
NY;Female;Right-Handed;Tennis;1000;January;Water;Art;07-oct;0;0;High school
NY;Female;Right-Handed;Soccer;300;March;Milk;Art;2;10;2;
NY;Female;Right-Handed;Other;888;June;Water;Art;7hrs ;;;
NY;Male;Left-Handed;Walking/Hiking;914;August;Water;Science;10;0;2;Graduate degree
NY;Male;Right-Handed;Basketball;540;October;Milk;Mathematics and statistics;11;0;1;Graduate degree
NY;Male;Right-Handed;Other;904;October;Water;Mathematics and statistics;8;25;15;Graduate degree
NY;Female;Right-Handed;Cycling;706;May;Milk;Music;11;0;1;Graduate degree
NY;Female;Right-Handed;Other;150;July;Juice;Mathematics and statistics;5;0;5;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;1000;May;Water;English;08-sep;;;High school
NY;Male;Right-Handed;Football (American);600;April;Water;Mathematics and statistics;9;0;0;Graduate degree
NY;Male;Left-Handed;Dancing;700;November;Juice;Music;10;0;3;Graduate degree
NY;Male;Right-Handed;Other;500;July;Water;Mathematics and statistics;9;0;2;Graduate degree
NY;Female;Right-Handed;Soccer;700;August;Juice;Science;8;34;6;Graduate degree
NY;Female;Right-Handed;Other;950;May;Water;Art;8;0;5;Graduate degree
NY;Female;Right-Handed;Basketball;1000;December;Water;Mathematics and statistics;8;7;3;Graduate degree
NY;Female;Right-Handed;None;899;February;Water;Art;9;0;3;High school
NY;Male;;;;;;;;;;
NY;Male;Right-Handed;Table Tennis;1000;September;Other;Computers and technology;0;0;0;High school
NY;Male;Right-Handed;Basketball;1000;June;Water;Science;4;0;2;Undergraduate degree
NY;Female;Right-Handed;Swimming;999;June;Water;Computers and technology;12;0;7;Graduate degree
NY;Male;Right-Handed;Walking/Hiking;0;July;Juice;History;9;0;3;Graduate degree
NY;Female;Right-Handed;Basketball;561;July;Juice;Science;10;0;1;High school
NY;Female;Right-Handed;Swimming;642;March;Water;Music;9;0;3;Other
NY;Male;Right-Handed;Basketball;700;August;Water;English;10;0;6;Undergraduate degree
NY;Female;Right-Handed;Athletics;800;October;Water;Languages;8;0;1;Graduate degree
NY;Male;Right-Handed;Soccer;500;January;Water;Physical education;10,5;20;1;Graduate degree
NY;Female;Ambidextrous;Other;781;September;Water;Other;9 1/2;0;12;Some college
NY;Female;Right-Handed;Swimming;861;May;Water;Art;9;0;1;Graduate degree
NY;Male;Right-Handed;Basketball;999;April;Water;Physical education;10;0;0;Graduate degree
NY;Female;Right-Handed;Other;600;November;Water;English;8;15;0;Some college
NY;Male;Left-Handed;Running/Jogging;500;January;Water;Social studies;9;0;3;Graduate degree
NY;Female;Right-Handed;Tennis;717;July;Water;Other;8;0;2;Other
NY;Male;Right-Handed;Walking/Hiking;800;May;Water;Computers and technology;7;17;1;Undergraduate degree
NY;Male;Right-Handed;None;1000;January;Water;;5;0;6;Graduate degree
NY;Female;Right-Handed;Dancing;;August;Water;Music;8,5;;3,5;Undergraduate degree
NY;;Right-Handed;Soccer;;June;Water;Art;8;16;3;Undergraduate degree
NY;Female;Right-Handed;Basketball;900;March;Water;Science;9hrs ;6;3;High school
NY;Female;Right-Handed;Running/Jogging;43;May;Coffee;Physical education;5;1;1;Graduate degree
NY;Male;Right-Handed;Martial Arts;800;May;Water;Science;8;30;5;Undergraduate degree
NY;Male;Right-Handed;Soccer;1000;March;Water;Mathematics and statistics;9;0;2;Graduate degree
NY;Male;Right-Handed;Running/Jogging;599;January;Water;History;8;24;2;Graduate degree
NY;Male;Right-Handed;Football (American);900;December;Water;Mathematics and statistics;9;6;5;Graduate degree
NY;Female;Right-Handed;Swimming;1000;June;Water;Science;8;0;0;High school
NY;Male;Right-Handed;Golf;999;December;Water;Physical education;5;5;3;Graduate degree
NY;Male;Right-Handed;Athletics;10000;April;Water;Science;12;;;Graduate degree
NY;Male;Right-Handed;Bowling;813;October;Water;Science;9;1;3;Graduate degree
NY;Female;Right-Handed;Skateboarding/Rollerblading;900;September;Juice;Mathematics and statistics;10;0;4;Graduate degree
NY;Female;Right-Handed;Basketball;481;;;;;;;
NY;Female;Right-Handed;Cycling;500;June;Other;Art;10;0;2;Graduate degree
NY;Male;Right-Handed;Other;1000;April;Water;Music;4;30;6;Graduate degree
NY;Female;Right-Handed;Tennis;700;February;Water;Languages;7;28;19;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;942;October;Water;History;7;0;2;Undergraduate degree
NY;Male;Right-Handed;Soccer;999;October;Water;Geography;9;0;2;Graduate degree
NY;Male;Right-Handed;Basketball;500;;;;;;;
NY;Male;Right-Handed;;;;;;;;;
NY;Female;Right-Handed;Walking/Hiking;1000;December;Water;Mathematics and statistics;8;;;
NY;Female;Left-Handed;Basketball;599;February;Juice;Computers and technology;10;30;3;Graduate degree
NY;Male;Right-Handed;;;;;;;;;
NY;Female;Right-Handed;Other;1000;July;Water;Music;7;;;
NY;Female;Right-Handed;Walking/Hiking;800;January;Water;History;8;0;4;Graduate degree
NY;Female;Right-Handed;Running/Jogging;1000;June;Energy drink;Social studies;3;0;500;
NY;Female;Right-Handed;;;;;;;;;
NY;Male;Right-Handed;;;;;;;;;
NY;Female;Right-Handed;Dancing;497;;;;;;;
NY;Female;Right-Handed;Dancing;1000;June;Sports drink;Music;9;0;0;Less than high school
NY;Male;Left-Handed;Basketball;289;November;Powdered drink;Mathematics and statistics;10;0;7;Graduate degree
NY;Female;Right-Handed;Gymnastics;984;June;Water;Art;12;0;2;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;1000;June;Water;Art;10;4;5;Graduate degree
NY;Male;Ambidextrous;Soccer;500;;;;;;;
NY;Male;Right-Handed;Swimming;849;May;Water;Mathematics and statistics;8;3;5;Graduate degree
NY;Female;Right-Handed;Dancing;800;July;Juice;History;8;0;7;Other
NY;Male;Right-Handed;Tennis;690;February;Water;Other;10;0;5;Graduate degree
NY;Male;Right-Handed;Swimming;1000;April;Tea;Mathematics and statistics;8;5;1;High school
NY;Male;Right-Handed;Basketball;200;November;Water;History;11;0;1;Undergraduate degree
NY;Female;Right-Handed;Soccer;900;February;Water;English;9;0;5;Graduate degree
NY;Male;Ambidextrous;Soccer;123;February;Coffee;Other;12;0;0;Graduate degree
NY;Female;Right-Handed;Baseball/Softball;;;;;;;;
NY;Female;Right-Handed;Basketball;;March;Energy drink;Art;4;0;14;Graduate degree
NY;Female;;;;;;;;;;
NY;Female;;;;;;;;;;
