Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
TX,Female,Right-Handed,Baseball/Softball,326.0,March,Water,Other,10.0,0.0,3.0,Graduate degree
TX,Male,Left-Handed,Basketball,1000.0,December,Water,Science,8.0,8.0,1.0,Graduate degree
TX,Male,Ambidextrous,Other activities/sports,750.0,May,Powdered drink,Mathematics and statistics,9.0,25.0,10.0,Some college
TX,Male,Right-Handed,Table Tennis,900.0,September,Water,History,8.0,26.0,5.0,Graduate degree
TX,Female,Right-Handed,Cycling,503.0,January,Juice,English,5.5,20.0,2.0,Graduate degree
TX,Female,Right-Handed,Running/Jogging,0.0,February,Tea,Science,7.0,2.0,4.0,Some college
TX,Male,Right-Handed,Skateboarding/Rollerblading,995.0,June,Water,Computers and technology,11.0,0.0,0.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,1000.0,December,Other,Art,6.0,3.0,2.0,Graduate degree
TX,Male,Right-Handed,Tennis,750.0,October,Water,Science,9.0,11.0,2.0,Graduate degree
TX,Female,Right-Handed,Table Tennis,476.0,July,Soft drink (caffeinated),Mathematics and statistics,10.0,0.0,1.0,Other
TX,Female,Right-Handed,Athletics (Track & Field),800.0,November,Water,Other,5.0,14.0,8.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,663.0,November,Tea,Science,9.0,8.0,3.5,Undergraduate degree
TX,Male,Right-Handed,Basketball,850.0,December,Water,Social studies,9.0,0.0,1.0,Graduate degree
TX,Male,Right-Handed,Football (American),850.0,December,Water,History,8.0,0.0,1.0,Graduate degree
TX,Male,Left-Handed,Other activities/sports,1000.0,April,Soft drink (non-caffeinated),Other,10.0,27.0,20.0,Graduate degree
TX,Female,Ambidextrous,Soccer,100.0,March,Water,Social studies,9.0,30.0,5.0,Graduate degree
TX,Female,Right-Handed,Athletics (Track & Field),1.0,January,Water,Science,7.0,16.0,4.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,775.0,July,Water,Music,4.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Dancing,0.0,December,Water,Other,8.0,5.0,2.0,Less than high school
TX,Female,Right-Handed,Running/Jogging,50.0,April,Water,Physical education,8.0,20.0,1.0,Graduate degree
TX,Female,Right-Handed,Tennis,800.0,January,Water,Art,8.0,0.0,7.0,Graduate degree
TX,Female,Right-Handed,Walking/Hiking,400.0,December,Milk,History,9.0,0.0,5.0,Some college
TX,Female,Right-Handed,Baseball/Softball,499.0,October,Tea,Science,12.0,0.0,1.0,High school
TX,Female,Right-Handed,Dancing,610.0,February,Sports drink,English,8.0,30.0,6.0,Graduate degree
TX,Female,Left-Handed,Dancing,600.0,November,Water,Social studies,10.0,0.0,1.0,Graduate degree
TX,Male,Ambidextrous,Martial Arts,1000.0,August,Water,Other,8.5,37.0,5.0,High school
TX,Female,Ambidextrous,Other activities/sports,500.0,May,Water,Mathematics and statistics,9.0,40.0,15.0,Graduate degree
TX,Female,Left-Handed,Dancing,750.0,July,Milk,Art,13.0,0.0,1.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,1000.0,February,Water,Physical education,10.0,40.0,2.0,High school
TX,Female,Left-Handed,Other activities/sports,500.0,January,Soft drink (caffeinated),Mathematics and statistics,12.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Cycling,1000.0,January,Tea,Art,14.0,0.0,0.0,Graduate degree
TX,Female,Right-Handed,Gymnastics,1000.0,December,Juice,Art,8.0,0.0,1.0,Some college
TX,Male,Right-Handed,Football (American),551.0,October,Powdered drink,Mathematics and statistics,8.0,6.0,1.0,Graduate degree
TX,Male,Right-Handed,Running/Jogging,684.0,November,Tea,Computers and technology,6.0,8.0,5.0,Graduate degree
TX,Female,Right-Handed,Dancing,1000.0,February,Water,Physical education,9.0,16.0,1.0,Some college
TX,Male,Right-Handed,Martial Arts,300.0,September,Water,Physical education,10.0,0.0,0.0,Some college
TX,Male,Right-Handed,Table Tennis,750.0,January,Water,Art,13.0,0.0,12.0,Undergraduate degree
TX,Male,Right-Handed,Tennis,1000.0,October,Water,History,6.0,0.0,3.0,Undergraduate degree
TX,Female,Right-Handed,Walking/Hiking,829.0,September,Water,Other,7.0,45.0,7.0,Undergraduate degree
TX,Female,Right-Handed,Basketball,947.0,March,Water,History,9.0,0.0,6.0,Graduate degree
TX,Male,Right-Handed,Basketball,1000.0,November,Tea,History,5.0,30.0,1.0,Other
TX,Male,Right-Handed,Football (American),999.0,August,Water,Mathematics and statistics,4.0,0.0,3.0,Some college
TX,Female,Right-Handed,Other activities/sports,1000.0,March,Water,Music,9.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Football (American),0.0,June,Tea,Physical education,6.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Dancing,364.0,November,Milk,Mathematics and statistics,4.0,0.0,4.0,Other
TX,Female,Right-Handed,Dancing,700.0,April,Water,Science,8.0,11.0,5.0,Graduate degree
TX,Male,Right-Handed,Swimming,60.0,January,Water,History,10.0,1.0,5.0,Graduate degree
TX,Male,Right-Handed,Soccer,1000.0,October,Water,Music,9.0,20.0,9.0,Graduate degree
TX,Male,Right-Handed,Golf,700.0,October,Soft drink (caffeinated),History,7.0,0.0,7.0,Graduate degree
TX,Male,Right-Handed,Martial Arts,914.0,February,Milk,Physical education,11.0,0.0,1.0,Graduate degree
TX,Male,Ambidextrous,Football (American),0.0,December,Juice,Physical education,5.0,15.0,0.0,Graduate degree
TX,Male,Right-Handed,Football (American),0.0,October,Sports drink,Art,8.0,9.0,9.0,Less than high school
TX,Female,Right-Handed,Other activities/sports,600.0,March,Water,Music,9.0,0.0,0.0,Other
TX,Female,Right-Handed,Football (American),50.0,March,Tea,Art,8.0,2.0,1.0,Other
TX,Male,Right-Handed,Basketball,193.0,August,Water,Mathematics and statistics,9.0,25.0,3.0,Graduate degree
TX,Female,Right-Handed,Lacrosse,578.0,August,Soft drink (caffeinated),Other,10.0,10.0,2.5,Graduate degree
TX,Female,Right-Handed,Basketball,300.0,December,Water,Physical education,9.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Athletics (Track & Field),100.0,October,Water,Other,10.0,0.0,1.0,Graduate degree
TX,Male,Right-Handed,Tennis,1000.0,October,Milk,Science,8.0,3.0,3.0,Graduate degree
TX,Male,Right-Handed,Athletics (Track & Field),10.0,October,Water,Physical education,11.5,0.0,8.0,Some college
TX,Female,Right-Handed,Dancing,100.0,July,Tea,History,5.0,0.0,3.0,Undergraduate degree
TX,Female,Right-Handed,Other activities/sports,400.0,October,Water,Other,9.0,25.0,2.0,Graduate degree
TX,Male,Right-Handed,Basketball,700.0,September,Water,Music,12.0,15.0,10.0,Undergraduate degree
TX,Female,Right-Handed,Other activities/sports,1000.0,August,Soft drink (caffeinated),Mathematics and statistics,8.0,25.0,5.0,Undergraduate degree
TX,Male,Right-Handed,Martial Arts,1000.0,March,Water,Mathematics and statistics,9.0,0.0,0.0,Graduate degree
TX,Male,Right-Handed,Football (American),350.0,January,Sports drink,History,10.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Walking/Hiking,900.0,November,Water,English,10.0,0.0,3.0,Undergraduate degree
TX,Female,Right-Handed,Other activities/sports,1000.0,February,Water,Physical education,9.0,35.0,1.0,Graduate degree
TX,Male,Right-Handed,Tennis,545.0,September,Milk,Computers and technology,10.0,0.0,1.0,Some college
TX,Male,Right-Handed,Football (American),25.0,September,Water,History,10.0,0.0,4.0,Graduate degree
TX,Female,Right-Handed,Swimming,500.0,June,Water,Mathematics and statistics,8.0,0.0,1.0,Graduate degree
TX,Female,Right-Handed,Swimming,850.0,March,Water,History,9.0,0.0,30.0,Graduate degree
TX,Male,Right-Handed,Martial Arts,400.0,August,Tea,Art,8.0,0.0,2.0,Graduate degree
TX,Female,Right-Handed,Baseball/Softball,556.0,December,Tea,Other,9.0,0.0,1.0,Graduate degree
TX,Male,Right-Handed,Basketball,90.0,April,Sports drink,Physical education,12.0,0.0,0.0,Some college
TX,Female,Right-Handed,Soccer,503.0,October,Soft drink (caffeinated),Other,9.0,0.0,2.0,Graduate degree
TX,Male,Right-Handed,Baseball/Softball,203.0,January,Water,Other,10.0,0.0,2.0,Some college
TX,Male,Right-Handed,Football (American),225.0,July,Sports drink,Physical education,14.0,4.0,10.0,Some college
TX,Male,Ambidextrous,Basketball,0.0,September,Water,English,10.0,7.0,0.0,Some college
TX,Female,Right-Handed,Other activities/sports,1000.0,February,Water,Mathematics and statistics,8.0,0.0,7.0,Graduate degree
TX,Male,Right-Handed,Soccer,1000.0,October,Water,Languages,8.0,0.0,5.0,Undergraduate degree
TX,Male,Right-Handed,Football (American),200.0,July,Sports drink,Mathematics and statistics,11.0,0.0,2.0,Graduate degree
TX,Male,Right-Handed,Skateboarding/Rollerblading,990.0,July,Water,Computers and technology,8.5,0.0,5.0,Other
TX,Male,Right-Handed,Running/Jogging,1000.0,December,Juice,Science,10.0,0.0,10.0,Graduate degree
TX,Male,Left-Handed,Basketball,219.0,January,Water,Mathematics and statistics,10.0,1.0,2.0,Undergraduate degree
TX,Male,Right-Handed,Other activities/sports,1000.0,July,Milk,Computers and technology,8.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,900.0,August,Water,Music,6.0,10.0,5.0,Undergraduate degree
TX,Male,Right-Handed,Basketball,1000.0,August,Sports drink,Computers and technology,10.0,0.0,1.0,Some college
TX,Female,Right-Handed,Skateboarding/Rollerblading,500.0,July,Water,Physical education,8.0,0.0,1.0,Undergraduate degree
TX,Male,Right-Handed,Bowling,200.0,March,Tea,History,10.0,35.0,3.0,Other
TX,Male,Right-Handed,Athletics (Track & Field),789.0,March,Water,Computers and technology,10.0,0.0,2.0,Graduate degree
TX,Male,Right-Handed,Soccer,597.0,April,Soft drink (caffeinated),Mathematics and statistics,11.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Basketball,1000.0,October,Water,Mathematics and statistics,8.0,8.0,4.0,Undergraduate degree
TX,Male,Right-Handed,Basketball,155.0,February,Water,History,11.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Football (American),0.0,September,Water,Social studies,7.0,0.0,0.0,Undergraduate degree
TX,Female,Right-Handed,Basketball,957.0,February,Tea,Science,10.0,0.0,4.0,Graduate degree
TX,Male,Right-Handed,Walking/Hiking,604.0,November,Soft drink (caffeinated),English,8.0,36.0,30.0,Graduate degree
TX,Male,Right-Handed,Soccer,1000.0,April,Milk,Physical education,11.0,0.0,4.0,High school
TX,Male,Right-Handed,Basketball,900.0,January,Water,Science,10.0,7.0,3.0,Graduate degree
TX,Male,Right-Handed,Basketball,1000.0,May,Water,History,10.0,0.0,10.0,Graduate degree
TX,Female,Right-Handed,Basketball,1000.0,July,Water,Other,7.0,30.0,1.0,Graduate degree
TX,Female,Right-Handed,Football (American),300.0,March,Coffee,Music,8.0,0.0,0.0,Undergraduate degree
TX,Female,Right-Handed,Dancing,0.0,July,Water,English,7.0,0.0,0.0,Graduate degree
TX,Female,Right-Handed,Lacrosse,600.0,January,Water,Music,11.0,0.0,1.0,Undergraduate degree
TX,Female,Right-Handed,Running/Jogging,1000.0,June,Water,Mathematics and statistics,9.0,0.0,3.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,545.0,April,Soft drink (caffeinated),Science,4.0,0.0,6.0,Graduate degree
TX,Female,Right-Handed,Dancing,470.0,September,Soft drink (caffeinated),Music,10.0,20.0,7.0,Undergraduate degree
TX,Female,Right-Handed,Other activities/sports,1000.0,October,Water,Science,7.0,20.0,5.0,Graduate degree
TX,Male,Right-Handed,Football (American),750.0,November,Water,Mathematics and statistics,9.0,0.0,4.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,300.0,January,Water,History,5.0,11.0,1.0,Graduate degree
TX,Female,Right-Handed,Dancing,400.0,December,Water,Art,9.0,0.0,2.0,Graduate degree
TX,Female,Right-Handed,Bowling,1000.0,December,Soft drink (caffeinated),Mathematics and statistics,9.0,9.0,2.0,Graduate degree
TX,Female,Right-Handed,Walking/Hiking,1000.0,August,Water,Art,10.0,40.0,3.0,Graduate degree
TX,Male,Right-Handed,Tennis,800.0,October,Water,Science,9.0,1.0,2.0,Graduate degree
TX,Female,Right-Handed,Soccer,700.0,August,Water,Science,10.0,4.0,4.0,Other
TX,Female,Right-Handed,Other activities/sports,500.0,October,Water,Languages,10.0,0.0,10.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,800.0,June,Water,Music,8.0,0.0,2.0,Other
TX,Female,Right-Handed,Swimming,797.0,September,Coffee,English,9.0,8.0,2.0,Graduate degree
TX,Female,Left-Handed,Table Tennis,1000.0,April,Coffee,Social studies,6.0,6.0,8.0,Graduate degree
TX,Male,Right-Handed,Swimming,100.0,June,Water,History,9.0,12.0,5.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,0.0,May,Soft drink (non-caffeinated),Computers and technology,7.0,11.0,12.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,1000.0,March,Water,Music,8.0,0.0,0.0,Graduate degree
TX,Male,Right-Handed,Football (American),300.0,September,Water,Physical education,7.0,0.0,1.0,Some college
TX,Male,Right-Handed,Football (American),100.0,April,Soft drink (caffeinated),Mathematics and statistics,7.0,0.0,0.0,Some college
TX,Male,Right-Handed,Football (American),0.0,July,Juice,Other,10.0,35.0,0.0,Some college
TX,Male,Right-Handed,Football (American),1000.0,August,Water,English,9.5,5.0,0.0,Graduate degree
TX,Female,Right-Handed,Soccer,8.0,November,Soft drink (caffeinated),Science,10.0,0.0,0.0,Graduate degree
TX,Male,Right-Handed,Soccer,800.0,April,Water,Other,9.0,0.0,2.0,Other
TX,Female,Right-Handed,Walking/Hiking,1000.0,August,Water,Mathematics and statistics,8.0,0.0,10.0,Graduate degree
TX,Female,Right-Handed,Basketball,1000.0,September,Sports drink,Art,10.0,24.0,0.0,High school
TX,Female,Right-Handed,Basketball,1000.0,August,Water,Mathematics and statistics,10.0,0.0,0.5,Graduate degree
TX,Female,Right-Handed,Soccer,1000.0,July,Water,History,7.0,0.0,0.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,850.0,May,Other,Other,10.0,0.0,2.0,Graduate degree
TX,Female,Right-Handed,Running/Jogging,802.0,July,Water,Mathematics and statistics,11.0,6.0,1.0,Graduate degree
TX,Male,Right-Handed,Football (American),909.0,July,Water,Physical education,6.0,14.0,15.0,Graduate degree
TX,Male,Right-Handed,Football (American),1000.0,December,Water,Science,7.0,4.0,2.0,Undergraduate degree
TX,Female,Right-Handed,Martial Arts,1000.0,March,Milk,Mathematics and statistics,11.0,0.0,1.0,Other
TX,Female,Right-Handed,Other activities/sports,1000.0,May,Coffee,History,9.0,0.0,10.0,Graduate degree
TX,Male,Right-Handed,Basketball,650.0,September,Water,Other,8.0,8.0,4.0,Undergraduate degree
TX,Female,Right-Handed,Dancing,999.0,July,Milk,Art,10.0,0.0,3.0,Undergraduate degree
TX,Female,Right-Handed,Walking/Hiking,1000.0,June,Soft drink (caffeinated),Other,9.0,45.0,10.0,Graduate degree
TX,Male,Right-Handed,Soccer,802.0,February,Water,Art,11.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Athletics (Track & Field),1000.0,October,Water,Science,10.0,0.0,11.0,Graduate degree
TX,Male,Right-Handed,Football (American),500.0,May,Water,Mathematics and statistics,6.0,0.0,0.0,Graduate degree
TX,Male,Right-Handed,Baseball/Softball,251.0,April,Soft drink (caffeinated),Science,10.0,7.0,25.0,Undergraduate degree
TX,Female,Right-Handed,Dancing,500.0,July,Water,Music,8.0,0.0,6.0,Graduate degree
TX,Male,Left-Handed,Baseball/Softball,1.0,December,Water,History,9.0,3.0,2.0,Graduate degree
TX,Female,Right-Handed,Swimming,455.0,September,Water,Mathematics and statistics,9.0,20.0,0.0,Graduate degree
TX,Male,Right-Handed,Football (American),128.0,July,Water,Physical education,7.5,0.0,3.0,Graduate degree
TX,Male,Ambidextrous,Football (American),700.0,April,Water,Art,8.0,0.0,4.0,Graduate degree
TX,Female,Right-Handed,Soccer,1000.0,January,Water,Mathematics and statistics,8.0,20.0,3.0,Other
TX,Male,Right-Handed,Cycling,500.0,July,Powdered drink,Computers and technology,8.0,0.0,4.0,Graduate degree
TX,Male,Right-Handed,Football (American),200.0,October,Water,History,9.0,0.0,6.0,Other
TX,Male,Ambidextrous,Soccer,80.0,March,Water,Science,10.0,0.0,2.0,Some college
TX,Female,Left-Handed,Other activities/sports,100.0,January,Water,English,10.0,0.0,1.0,Other
TX,Male,Right-Handed,Basketball,500.0,July,Sports drink,Mathematics and statistics,5.0,8.0,0.0,Graduate degree
TX,Female,Right-Handed,Swimming,786.0,March,Water,Mathematics and statistics,8.0,0.0,5.0,Graduate degree
TX,Male,Left-Handed,Hockey (Ice),1000.0,November,Water,Mathematics and statistics,7.5,0.5,0.5,Undergraduate degree
TX,Female,Right-Handed,Martial Arts,1000.0,June,Water,Other,8.0,25.0,6.0,Graduate degree
TX,Female,Right-Handed,Basketball,636.0,September,Water,Mathematics and statistics,8.0,0.0,7.0,Graduate degree
TX,Female,Right-Handed,Soccer,759.0,September,Tea,Science,10.0,20.0,2.0,Graduate degree
TX,Female,Right-Handed,Dancing,1000.0,October,Water,History,8.0,0.0,5.0,Graduate degree
TX,Male,Right-Handed,Basketball,750.0,April,Water,Other,8.0,5.0,5.0,Graduate degree
TX,Male,Right-Handed,Soccer,44.0,December,Energy drink,Science,10.0,1.0,1.0,Other
TX,Female,Left-Handed,Dancing,1000.0,August,Water,Music,10.0,3.0,3.0,Graduate degree
TX,Female,Right-Handed,Dancing,700.0,October,Water,Art,10.0,0.0,1.0,Other
