"Region	Gender	Handed	Favourite_physical_activity	Importance_reducing_pollution	Birth_month	Beverage	Favorite_School_Subject	Sleep_Hours_Non_Schoolnight	Paid_Work_Hours	Work_At_Home_Hours	Planned_Education_Level"
"NY	Female	Right-Handed	Dancing	1000	June	Sports_drink	Music	9	NA	0	Less_than_high_school"
"NY	Male	Left-Handed	Basketball	289	November	Powdered_drink	Mathematics_and_statistics	10	NA	7	Graduate_degree"
"NY	Female	Right-Handed	Gymnastics	984	June	Water	Art	12	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	June	Water	Art	10	4	5	Graduate_degree"
"NY	Male	Ambidextrous	Soccer	500	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Swimming	849	May	Water	Mathematics_and_statistics	8	3	5	Graduate_degree"
"NY	Female	Right-Handed	Dancing	800	July	Juice	History	8	NA	7	Other"
"NY	Male	Right-Handed	Tennis	690	February	Water	Other	10	NA	5	Graduate_degree"
"NY	Male	Right-Handed	Swimming	1000	April	Tea	Mathematics_and_statistics	8	5	1	High_school"
"NY	Male	Right-Handed	Basketball	200	November	Water	History	11	NA	1	Undergraduate_degree"
"NY	Female	Right-Handed	Soccer	900	February	Water	English	9	NA	5	Graduate_degree"
"NY	Male	Ambidextrous	Soccer	123	February	Coffee	Other	12	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Baseball/Softball	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Basketball	NA	March	Energy_drink	Art	4	NA	14	Graduate_degree"
"NY	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Other	475	March	Soft_drink_(non-caffeinated)	History	10	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	May	Water	English	10	4	2	Graduate_degree"
"NY	Female	Right-Handed	Other	950	March	Water	Art	5	12	3	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	70	March	Tea	Social_studies	4.5	35	11	Undergraduate_degree"
"NY	Female	Right-Handed	Soccer	1000	October	Water	Social_studies	8	15	8	Graduate_degree"
"NY	Female	Right-Handed	Other	1000	June	Tea	Languages	5	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	700	March	Sports_drink	Physical_education	10	NA	NA	NA"
"NY	Female	Right-Handed	None	754	May	Tea	Mathematics_and_statistics	10	NA	3	Undergraduate_degree"
"NY	Male	Left-Handed	Tennis	0	May	Water	History	10	NA	NA	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	NA	February	Energy_drink	Physical_education	9	2	3	Undergraduate_degree"
"NY	Female	Right-Handed	Other	1000	April	Coffee	Science	8	3	6	Graduate_degree"
"NY	Female	Right-Handed	Dancing	100	March	Water	Music	6	NA	0	Some_college"
"NY	Male	Right-Handed	Swimming	766	July	Water	History	10	NA	8	Undergraduate_degree"
"NY	Female	Right-Handed	Gymnastics	900	February	Water	Science	10	NA	NA	NA"
"NY	Male	Right-Handed	Swimming	909	January	Water	Science	10	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Soccer	1000	January	Water	Physical_education	8	NA	NA	High_school"
"NY	Female	Right-Handed	Walking/Hiking	1000	November	Water	Art	7	NA	3	Some_college"
"NY	Female	Right-Handed	Tennis	1000	January	Water	Social_studies	8	7	1	Graduate_degree"
"NY	Female	Right-Handed	Dancing	900	May	Water	Art	8	NA	NA	NA"
"NY	Male	Right-Handed	Basketball	999	July	Water	Social_studies	13	NA	6	Graduate_degree"
"NY	Male	Left-Handed	Baseball/Softball	1000	June	Water	History	11	NA	1	Undergraduate_degree"
"NY	Female	Right-Handed	Athletics	830	January	Water	Mathematics_and_statistics	9	NA	3	Graduate_degree"
"NY	Female	Left-Handed	Bowling	1000	December	Other	Art	NA	NA	1	Other"
"NY	Male	Right-Handed	Basketball	400	December	Milk	Computers_and_technology	10	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	800	December	Water	Physical_education	8	NA	1	Undergraduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	390	August	Tea	Physical_education	8	NA	1	Graduate_degree"
"NY	Female	Left-Handed	Tennis	1000	July	Water	Art	5	NA	20	Graduate_degree"
"NY	Female	Right-Handed	Tennis	701	July	Tea	Mathematics_and_statistics	6	12	3	Undergraduate_degree"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Left-Handed	Running/Jogging	1000	March	Water	History	9	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	1000	July	Water	Mathematics_and_statistics	NA	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Basketball	1000	January	Water	Computers_and_technology	5	NA	0	Other"
"NY	Female	Right-Handed	Other	300	December	Water	Science	10	NA	0.5	Graduate_degree"
"NY	Female	Right-Handed	Running/Jogging	900	February	Water	Social_studies	12	3	4	Graduate_degree"
"NY	Male	Left-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	None	1000	April	Water	Computers_and_technology	10	NA	20	Graduate_degree"
"NY	Female	Right-Handed	Basketball	1000	August	Water	Art	12	12	5	Undergraduate_degree"
"NY	Male	Right-Handed	Running/Jogging	765	March	Water	Mathematics_and_statistics	10	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Hockey_(Field)	500	March	Water	Music	9	NA	4	Undergraduate_degree"
"NY	Female	Left-Handed	None	642	August	NA	Art	9	NA	2	Undergraduate_degree"
"NY	Male	Right-Handed	Football_(American)	1000	September	Water	Science	10	NA	3	Undergraduate_degree"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	None	NA	NA	Tea	Art	4	NA	NA	NA"
"NY	Female	Right-Handed	Other	500	July	Soft_drink_(caffeinated)	Science	8	20	5	Graduate_degree"
"NY	Male	Left-Handed	Basketball	556	August	Water	Mathematics_and_statistics	8	NA	21	Other"
"NY	Male	Right-Handed	Other	900	April	Water	Art	6	25	1	Some_college"
"NY	Female	Right-Handed	Martial_Arts	100	June	Water	History	10.5	19	6	Graduate_degree"
"NY	Male	Right-Handed	Basketball	50	March	Water	Physical_education	10	NA	0	Undergraduate_degree"
"NY	Female	Right-Handed	Other	500	November	Water	Science	12	NA	NA	NA"
"NY	Male	Right-Handed	Basketball	1000	July	Water	History	9	NA	4	Graduate_degree"
"NY	Female	Right-Handed	Swimming	900	July	Water	Social_studies	9	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Other	NA	June	Soft_drink_(non-caffeinated)	Computers_and_technology	NA	NA	NA	NA"
"NY	Female	Right-Handed	Swimming	476	September	Water	Mathematics_and_statistics	8.5	NA	1	Graduate_degree"
"NY	Female	Ambidextrous	Soccer	800	September	Tea	Science	9	NA	1	Other"
"NY	Male	Right-Handed	Cycling	733	November	Water	Art	9	3	4	Graduate_degree"
"NY	Female	Right-Handed	Other	449	April	Juice	English	6	NA	12	Graduate_degree"
"NY	Male	Right-Handed	Walking/Hiking	1000	August	Juice	Science	10	NA	3	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	450	April	Water	History	5	4	2	Undergraduate_degree"
"NY	Female	Right-Handed	None	500	November	Water	Art	NA	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Athletics	800	April	Sports_drink	Mathematics_and_statistics	9	3	3	Graduate_degree"
"NY	Female	Right-Handed	Baseball/Softball	417	April	Soft_drink_(caffeinated)	English	5	8	1	Graduate_degree"
"NY	Male	Right-Handed	None	500	July	Soft_drink_(non-caffeinated)	Social_studies	8	25	6	Some_college"
"NY	Female	Right-Handed	Other	0	January	Milk	Music	9	NA	2	NA"
"NY	Male	Ambidextrous	Other	620	November	Milk	Science	11	NA	NA	NA"
"NY	Male	Right-Handed	Football_(American)	5	December	Sports_drink	Other	NA	NA	NA	Less_than_high_school"
"NY	Female	Right-Handed	Martial_Arts	960	May	Water	Languages	10	NA	NA	NA"
"NY	Male	Right-Handed	Soccer	1000	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Left-Handed	None	433	February	Juice	Physical_education	7	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Dancing	610	December	Water	Music	10	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Running/Jogging	1000	May	Milk	Mathematics_and_statistics	5	NA	1	Other"
"NY	Female	Right-Handed	Rowing	1	February	Water	Other	10	NA	3	Graduate_degree"
"NY	Female	Left-Handed	Martial_Arts	500	February	Energy_drink	Other	14	NA	12	Graduate_degree"
"NY	Male	Right-Handed	Soccer	750	March	Juice	Science	9	NA	1	Graduate_degree"
"NY	NA	Left-Handed	Soccer	1000	August	Water	Art	7	NA	NA	Some_college"
"NY	Male	Right-Handed	Basketball	40	April	Water	Physical_education	9	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Cycling	800	August	Tea	Languages	10	NA	14	Graduate_degree"
"NY	Male	Right-Handed	Athletics	845	February	Juice	Computers_and_technology	15	NA	12	Graduate_degree"
"NY	Male	Right-Handed	Tennis	800	September	Milk	Music	12	NA	6	Graduate_degree"
"NY	Male	Right-Handed	Other	1000	November	Milk	Social_studies	7	4	3	Graduate_degree"
"NY	Female	Right-Handed	Other	700	April	Water	Science	8	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Tennis	800	June	Water	Mathematics_and_statistics	10	NA	1	Undergraduate_degree"
"NY	Male	Left-Handed	None	800	March	Juice	English	9	4	4	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	1000	September	Coffee	Science	5	5	7	High_school"
"NY	Female	Right-Handed	Other	1000	September	Water	Social_studies	7	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Skateboarding/Rollerblading	1000	September	Water	Social_studies	6	5	0	Graduate_degree"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Swimming	1	March	Soft_drink_(caffeinated)	Other	8	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Tennis	545	February	Water	Computers_and_technology	12	4	1	Graduate_degree"
"NY	Female	Right-Handed	Other	1000	January	Water	Science	11	5	6	Graduate_degree"
"NY	Female	Left-Handed	Walking/Hiking	1000	November	Water	Science	8	NA	0.5	Undergraduate_degree"
"NY	Male	Right-Handed	Other	900	November	Juice	Social_studies	10	12	5	High_school"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Football_(American)	550	November	Tea	Art	NA	NA	5	Graduate_degree"
"NY	Female	Left-Handed	Martial_Arts	800	April	Water	English	9	NA	2	Other"
"NY	Female	Right-Handed	Walking/Hiking	500	January	Water	Science	7.5	8	0	Graduate_degree"
"NY	Female	Right-Handed	Dancing	652	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Basketball	1000	July	Water	Mathematics_and_statistics	11	8	2	Graduate_degree"
"NY	Male	Right-Handed	Walking/Hiking	800	December	Water	Social_studies	9	NA	2	Graduate_degree"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Left-Handed	Skateboarding/Rollerblading	781	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Walking/Hiking	187	November	Water	Art	8	NA	6	Graduate_degree"
"NY	Male	Right-Handed	Other	914	December	Soft_drink_(non-caffeinated)	Mathematics_and_statistics	9	NA	1	Undergraduate_degree"
"NY	Female	Right-Handed	None	500	April	Water	Art	NA	NA	0	High_school"
"NY	Male	Right-Handed	Basketball	1000	April	Water	Mathematics_and_statistics	9	NA	8	Graduate_degree"
"NY	Male	Right-Handed	Gymnastics	1000	May	Water	History	8	NA	10	Graduate_degree"
"NY	Female	Right-Handed	Running/Jogging	750	November	Water	Mathematics_and_statistics	10	40	5	Graduate_degree"
"NY	Male	Right-Handed	Running/Jogging	615	February	Soft_drink_(caffeinated)	History	4	NA	20	Other"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Other	NA	February	Coffee	Music	9	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Other	700	March	Soft_drink_(non-caffeinated)	Mathematics_and_statistics	8	20	1	Graduate_degree"
"NY	Female	Right-Handed	None	300	October	Milk	Computers_and_technology	10	NA	3	Less_than_high_school"
"NY	Male	Ambidextrous	Basketball	NA	July	Water	Science	NA	NA	NA	NA"
"NY	Female	Right-Handed	Baseball/Softball	700	November	NA	NA	NA	NA	NA	NA"
"NY	Female	Left-Handed	Running/Jogging	802	December	Coffee	Other	7.5	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Basketball	262	July	Water	Physical_education	6	NA	0.33	Some_college"
"NY	Male	Right-Handed	Baseball/Softball	765	November	Water	Physical_education	9	0.5	0.5	Graduate_degree"
"NY	Male	Right-Handed	Basketball	800	September	Water	Art	8	NA	5	Less_than_high_school"
"NY	Male	Right-Handed	Soccer	500	April	Water	History	9	1	4	Graduate_degree"
"NY	Female	Ambidextrous	Basketball	NA	July	NA	NA	NA	1	1	Other"
"NY	Female	Right-Handed	Dancing	0	January	Coffee	Social_studies	5	NA	1	Graduate_degree"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	None	900	September	Water	History	10	NA	2	Undergraduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	April	Juice	Art	10	NA	7	Graduate_degree"
"NY	Female	Right-Handed	Skateboarding/Rollerblading	1000	December	Water	History	10	NA	2	Graduate_degree"
"NY	Male	Ambidextrous	Baseball/Softball	1000	July	Water	Physical_education	8	NA	3	Other"
"NY	Female	Right-Handed	Tennis	400	June	Water	Other	8	NA	1	Less_than_high_school"
"NY	Male	Right-Handed	Lacrosse	200	November	Water	Mathematics_and_statistics	8	NA	0	Undergraduate_degree"
"NY	Female	Right-Handed	Martial_Arts	300	March	Water	Music	8	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Running/Jogging	200	January	Water	Social_studies	9	NA	1	Undergraduate_degree"
"NY	Male	Right-Handed	Basketball	800	February	Milk	Science	9	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	925	September	Water	Science	10	3	3	Other"
"NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Ambidextrous	Other	200	May	Water	Science	10	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Soccer	561	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Martial_Arts	NA	December	Water	Science	9	6	3	Some_college"
"NY	Male	Right-Handed	Swimming	1000	October	Water	Art	9	5	5	Graduate_degree"
"NY	Male	Right-Handed	Soccer	900	November	Soft_drink_(non-caffeinated)	Mathematics_and_statistics	11	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	February	Water	Mathematics_and_statistics	8	40	7	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	898	August	Water	English	9	NA	25	Graduate_degree"
"NY	Female	Left-Handed	Swimming	53	November	Juice	Languages	8	NA	3	Graduate_degree"
"NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Basketball	0	November	Other	Mathematics_and_statistics	10	NA	7	Graduate_degree"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Dancing	1000	July	Water	Social_studies	9	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Dancing	829	October	Water	History	8	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Basketball	545	April	Water	Social_studies	9	NA	15	Graduate_degree"
"NY	Male	Ambidextrous	Other	800	April	Water	Physical_education	8	NA	5	Some_college"
"NY	Female	Right-Handed	Walking/Hiking	NA	May	Milk	History	7	NA	NA	Graduate_degree"
"NY	Male	Right-Handed	Tennis	1000	September	Water	Mathematics_and_statistics	9	20	10	Graduate_degree"
"NY	Male	Right-Handed	Athletics	600	December	Water	Mathematics_and_statistics	8	NA	8	Graduate_degree"
"NY	Female	Right-Handed	Basketball	800	March	Water	Mathematics_and_statistics	10	NA	14	Graduate_degree"
"NY	Female	Right-Handed	Soccer	1000	November	Water	Science	9	NA	5	High_school"
"NY	Female	Ambidextrous	Soccer	100	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Left-Handed	Soccer	1000	July	Water	Physical_education	11	NA	1	Other"
"NY	Male	Right-Handed	Walking/Hiking	800	February	Water	Mathematics_and_statistics	10	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Other	700	May	Water	Mathematics_and_statistics	9	40	30	Graduate_degree"
"NY	Male	Right-Handed	Soccer	250	July	Water	Mathematics_and_statistics	7	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Swimming	540	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Running/Jogging	700	August	Water	History	10	NA	NA	NA"
"NY	Female	Right-Handed	Lacrosse	800	April	Milk	Science	10	NA	6	Some_college"
"NY	Female	Right-Handed	Walking/Hiking	893	May	Tea	Art	10	5	5	Graduate_degree"
"NY	Female	Right-Handed	Gymnastics	500	September	Water	Mathematics_and_statistics	NA	NA	10	Graduate_degree"
"NY	Female	Right-Handed	Tennis	900	February	Water	Science	10	6	12	Graduate_degree"
"NY	Female	Right-Handed	Swimming	1000	April	Water	Mathematics_and_statistics	12	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Soccer	1000	August	Water	Mathematics_and_statistics	11	3	10	Other"
"NY	Male	Right-Handed	Hockey_(Ice)	NA	October	Sports_drink	Physical_education	NA	NA	0	Some_college"
"NY	Female	Right-Handed	Running/Jogging	1000	March	Coffee	English	8	2	0	Graduate_degree"
"NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	Graduate_degree"
"NY	Female	Right-Handed	Other	455	June	Water	English	8	15	8	Graduate_degree"
"NY	Female	Right-Handed	Other	535	January	Water	Physical_education	9	NA	2	Graduate_degree"
"NY	Female	Right-Handed	None	1000	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Walking/Hiking	900	August	Water	Social_studies	9	4	1	Graduate_degree"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Other	631	June	Milk	English	12	NA	NA	NA"
"NY	Male	Left-Handed	Cycling	900	March	Water	Music	10	NA	10	Undergraduate_degree"
"NY	Male	Right-Handed	Martial_Arts	1000	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	None	800	May	Water	Mathematics_and_statistics	10	NA	5	Undergraduate_degree"
"NY	Female	Left-Handed	Dancing	1000	February	Water	Science	10	NA	1	Other"
"NY	Female	Right-Handed	Running/Jogging	1000	December	Water	Social_studies	10	NA	4	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	750	February	Milk	Science	10	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	1000	March	Water	Music	8	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Swimming	900	June	Water	English	11	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Other	1	April	Water	English	15	NA	0	Other"
"NY	Female	Right-Handed	Lacrosse	1	September	Water	Music	8	9	3	Other"
"NY	Female	Right-Handed	Athletics	900	January	Coffee	Languages	9	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Walking/Hiking	900	October	Water	History	9	NA	2	Graduate_degree"
"NY	Male	Left-Handed	Bowling	625	May	Water	Art	9.5	NA	1.5	Undergraduate_degree"
"NY	Female	Right-Handed	None	1000	March	Water	Art	9	40	NA	Graduate_degree"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Walking/Hiking	1000	September	Water	History	8	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Soccer	1000	January	Water	Music	11	3	3	Graduate_degree"
"NY	Female	Right-Handed	Cycling	765	November	Juice	Social_studies	4	NA	7	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	900	November	Water	Languages	8	NA	10	Graduate_degree"
"NY	Male	Right-Handed	Other	500	December	Water	Mathematics_and_statistics	11	NA	20	Other"
"NY	Male	Right-Handed	Swimming	20	August	Milk	Other	NA	NA	0	Some_college"
"NY	Female	Right-Handed	Other	700	August	Water	English	8	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Swimming	850	October	Milk	Mathematics_and_statistics	9	NA	10	Graduate_degree"
"NY	Female	Right-Handed	Table_Tennis	800	August	Milk	Art	12	NA	2	Undergraduate_degree"
"NY	Female	Right-Handed	Lacrosse	877	September	Water	Social_studies	11	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Running/Jogging	1000	May	Water	English	10	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Skateboarding/Rollerblading	642	October	Water	Music	9	NA	NA	Graduate_degree"
"NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Left-Handed	Basketball	678	September	Milk	Mathematics_and_statistics	7	NA	0	Other"
"WA	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Female	Right-Handed	Skateboarding/Rollerblading	990	March	Water	Art	4	12	2	Graduate_degree"
"WA	Male	Right-Handed	Football_(American)	449	March	Water	History	8	NA	NA	Undergraduate_degree"
"WA	Female	Right-Handed	Dancing	0	NA	NA	NA	NA	NA	NA	NA"
"WA	Male	Right-Handed	Soccer	187	April	Water	Physical_education	10	NA	15	Some_college"
"WA	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Male	Right-Handed	Other	150	October	Coffee	Music	12	NA	NA	Some_college"
"WA	Female	Right-Handed	None	471	October	Water	Other	10	NA	0	Some_college"
"WA	Female	Right-Handed	Swimming	342	September	Water	English	9	NA	21	Graduate_degree"
"WA	Female	Left-Handed	Other	1000	July	Water	Mathematics_and_statistics	10	25	NA	Graduate_degree"
"WA	Male	Right-Handed	Football_(American)	900	November	Water	History	12	NA	6	Other"
"WA	Female	Right-Handed	None	NA	June	Tea	Science	7	12	1	Graduate_degree"
"WA	Female	Right-Handed	Hockey_(Ice)	800	December	Water	History	NA	1	2	Graduate_degree"
"WA	Female	Right-Handed	Swimming	300	May	Tea	Art	8	NA	3	Graduate_degree"
"WA	Female	Left-Handed	Martial_Arts	524	February	Water	Other	9	NA	1.5	Graduate_degree"
"WA	Male	Left-Handed	Golf	0	June	Water	History	6	4	4	NA"
"WA	Male	Right-Handed	Other	900	April	Water	Physical_education	10	24	4	Graduate_degree"
"WA	Male	Right-Handed	Football_(American)	50	December	Water	Physical_education	10	20	1	Some_college"
"WA	Male	Right-Handed	Martial_Arts	300	October	Water	History	12	NA	1	Graduate_degree"
"WA	Female	Right-Handed	Swimming	465	February	Water	Art	6	NA	2	High_school"
"WA	Female	Right-Handed	Soccer	1000	March	Soft_drink_(caffeinated)	History	11	NA	0	Some_college"
"WA	Female	Right-Handed	Tennis	6	June	Water	Physical_education	5	2	1	Graduate_degree"
"WA	Male	Right-Handed	Skateboarding/Rollerblading	1000	September	Soft_drink_(caffeinated)	Music	9	NA	0	Other"
"WA	Female	Right-Handed	Basketball	1000	May	Water	English	6	4	1	Graduate_degree"
"WA	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Female	Right-Handed	None	4	November	Water	Languages	4	28	0	High_school"
"WA	Male	Right-Handed	Football_(American)	0	August	Water	History	NA	37.5	3	Other"
"WA	Male	Right-Handed	Other	626	NA	NA	NA	NA	NA	NA	NA"
"WA	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Female	Right-Handed	Other	0	January	Water	English	12	4	4	Some_college"
"WA	Female	Right-Handed	None	1000	NA	NA	NA	NA	NA	NA	NA"
"WA	Male	Right-Handed	Skateboarding/Rollerblading	5	March	Water	Mathematics_and_statistics	8	20	2	High_school"
"WA	Female	Right-Handed	Other	500	August	Water	Science	9	NA	NA	NA"
"WA	Female	Right-Handed	Other	700	NA	NA	NA	NA	NA	NA	NA"
"WA	Male	Right-Handed	Football_(American)	813	December	Water	Physical_education	9	20	2	Undergraduate_degree"
"WA	Male	Right-Handed	Football_(American)	0	NA	Sports_drink	Physical_education	6	NA	3	Other"
"WA	Female	Left-Handed	Golf	NA	NA	NA	NA	NA	NA	NA	Graduate_degree"
"WA	Female	Right-Handed	Dancing	529	August	Water	Languages	10	NA	10	Some_college"
"WA	Male	Right-Handed	Martial_Arts	1000	April	Soft_drink_(non-caffeinated)	History	10	NA	0	High_school"
"WA	Male	Ambidextrous	Soccer	1000	September	Soft_drink_(caffeinated)	Art	10	NA	0	Graduate_degree"
"WA	Female	Right-Handed	Golf	NA	October	Water	Physical_education	7	NA	NA	Graduate_degree"
"WA	Male	Right-Handed	Cycling	503	February	Milk	History	14	NA	5	Graduate_degree"
"WA	Male	Right-Handed	Soccer	1000	October	Water	Geography	5	NA	2	Some_college"
"WA	Male	Right-Handed	Golf	600	February	Water	Mathematics_and_statistics	6	NA	1	Some_college"
"WA	Female	Right-Handed	Baseball/Softball	2	February	Energy_drink	History	10	4	30	High_school"
"WA	Male	Right-Handed	Other	701	May	Water	Other	8	20	2	High_school"
"WA	Male	Right-Handed	Soccer	100	November	Soft_drink_(caffeinated)	Mathematics_and_statistics	10	NA	5	Some_college"
"WA	Male	Right-Handed	Basketball	750	April	Water	Physical_education	8	1	1	Other"
"WA	Male	Left-Handed	Soccer	508	May	Juice	Physical_education	12	NA	0	Undergraduate_degree"
"WA	Male	Right-Handed	Football_(American)	500	July	Juice	History	9	NA	3	Undergraduate_degree"
"WA	Female	Right-Handed	Other	829	September	Water	History	5	NA	3	Other"
"WA	Female	Right-Handed	Walking/Hiking	10	October	Coffee	English	5	NA	9	Some_college"
"WA	Male	Right-Handed	Soccer	NA	February	Sports_drink	English	NA	NA	NA	High_school"
"WA	Female	Right-Handed	Golf	500	September	Tea	Mathematics_and_statistics	8	40	20	Graduate_degree"
"WA	Male	Right-Handed	Football_(American)	NA	September	Sports_drink	Physical_education	4	NA	NA	Graduate_degree"
"WA	Female	Right-Handed	Basketball	401	March	Water	English	6	NA	0.66	Other"
"WA	Male	Ambidextrous	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Female	Right-Handed	Walking/Hiking	1000	April	Water	Science	10	NA	4	Graduate_degree"
"WA	Male	Right-Handed	Swimming	250	December	Soft_drink_(caffeinated)	Mathematics_and_statistics	12	NA	10	High_school"
"WA	Female	Left-Handed	Walking/Hiking	1000	June	Water	Art	14	5	7	Some_college"
"WA	Male	Left-Handed	Athletics	500	October	Energy_drink	Other	6	1	2	Undergraduate_degree"
"WA	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Female	Right-Handed	Martial_Arts	1000	April	Water	Art	4	20	1	Graduate_degree"
"WA	Male	Right-Handed	Other	872	January	Tea	Art	10	NA	NA	Some_college"
"WA	Male	Right-Handed	Baseball/Softball	200	March	Water	Other	NA	NA	NA	NA"
"WA	Male	Right-Handed	Basketball	80	August	Sports_drink	Computers_and_technology	5	NA	10	Some_college"
"WA	Male	Right-Handed	None	1000	March	Water	Computers_and_technology	10	NA	NA	NA"
"WA	Female	Right-Handed	Gymnastics	NA	August	Water	Other	10	NA	0	Graduate_degree"
"WA	Female	Right-Handed	Soccer	1000	November	Water	Science	11	NA	1	Graduate_degree"
"WA	Male	Right-Handed	Basketball	610	May	Soft_drink_(caffeinated)	Physical_education	9	NA	0	Some_college"
"WA	Female	Right-Handed	None	8	April	Milk	Music	12	NA	2	Undergraduate_degree"
"WA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"WA	Male	Right-Handed	Walking/Hiking	449	June	Water	Other	12	NA	10	Graduate_degree"
