Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
NY,Female,Right-Handed,Tennis,500.0,February,Water,Mathematics and statistics,10.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,1000.0,January,Water,Mathematics and statistics,11.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,40.0,May,Other,Mathematics and statistics,10.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Skateboarding/Rollerblading,100.0,November,Water,Physical education,10.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Cycling,900.0,February,Soft drink (non-caffeinated),History,9.0,16.0,16.0,Graduate degree
NY,Male,Right-Handed,Martial Arts,500.0,November,Energy drink,Other,11.0,2.0,2.0,Graduate degree
NY,Male,Right-Handed,Basketball,800.0,June,Water,Mathematics and statistics,10.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Basketball,1000.0,June,Juice,Art,9.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Soccer,500.0,February,Water,Science,12.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,700.0,December,Energy drink,Music,12.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,900.0,August,Water,English,11.0,0.0,0.0,Other
NY,Male,Right-Handed,Basketball,310.0,June,Water,Other,8.0,16.0,16.0,Graduate degree
NY,Male,Left-Handed,Baseball/Softball,700.0,April,Water,Science,10.0,2.0,2.0,Graduate degree
NY,Male,Right-Handed,Tennis,1000.0,November,Water,Mathematics and statistics,7.0,15.0,15.0,Graduate degree
NY,Female,Right-Handed,Hockey (Field),700.0,February,Water,Science,7.0,5.0,5.0,Graduate degree
NY,Male,Ambidextrous,Football (American),700.0,August,Water,Physical education,9.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Basketball,900.0,January,Milk,English,10.0,0.0,0.0,Other
NY,Female,Right-Handed,Swimming,800.0,August,Water,History,10.0,7.0,7.0,Graduate degree
NY,Male,Right-Handed,Basketball,1000.0,April,Milk,Science,9.0,2.0,2.0,Graduate degree
NY,Male,Right-Handed,Baseball/Softball,300.0,May,Sports drink,History,10.0,10.0,10.0,Graduate degree
NY,Female,Left-Handed,Athletics (Track & Field),872.0,October,Soft drink (caffeinated),History,9.0,2.0,2.0,Graduate degree
NY,Male,Right-Handed,Martial Arts,800.0,April,Soft drink (non-caffeinated),Art,8.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Baseball/Softball,500.0,January,Water,Social studies,10.0,1.0,1.0,Some college
NY,Female,Right-Handed,Walking/Hiking,1000.0,November,Tea,English,7.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Hockey (Ice),1000.0,February,Water,Physical education,9.0,4.0,4.0,Graduate degree
NY,Female,Right-Handed,Gymnastics,706.0,September,Water,Social studies,10.0,5.0,5.0,Graduate degree
NY,Female,Right-Handed,Martial Arts,800.0,April,Water,Science,8.5,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Tennis,1000.0,March,Water,Mathematics and statistics,8.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Hockey (Field),529.0,November,Tea,Art,11.0,0.0,0.0,Some college
NY,Male,Right-Handed,Soccer,80.0,January,Tea,Physical education,5.0,8.0,8.0,Graduate degree
NY,Female,Right-Handed,Swimming,1000.0,December,Water,Science,9.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Dancing,500.0,February,Water,English,11.0,13.0,13.0,Graduate degree
NY,Male,Right-Handed,Skateboarding/Rollerblading,800.0,June,Water,Science,9.0,0.0,0.0,Graduate degree
