Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2015,""12        "",Male,17,Right-Handed,189,28,186,1,Car,7,.331,39,Soccer,850,600,400,600,900,950,28,""Right foot"",100,105,""Ring finger"",February,Summer,No,No,Meat,Milk,""Physical education"",8,8,5,""Yes - broadband connection"",""Text messaging"",300,800,5,1,2,5,10,6,8,10,3,8,0,2,Some,""Graduate degree"",Country,Telepathy,Famous,""Sports person"",""Arts, culture, sports"""
"USA,VA,2018,""12        "",Female,18,Right-Handed,157.5,22.86,157.5,1,Bus,10,0.736,52,""Football (American)"",400,400,500,400,300,500,22.86,""Same length"",30,30,""Same length"",August,Summer,No,No,Pizza/Pasta,Water,""Mathematics and statistics"",6,9,5,""Yes - other"",""Cell phone"",""10 "",10,3,8,2,8,1,0,6,3,4,5,0,1,Some,""Some college"",Pop,Fly,Happy,""Musician or singer"",""Wildlife, animals"""
"USA,VA,2020,""12        "",Female,17,Right-Handed,165,24,170,1,Car,12,0.481,39,Tennis,1000,1000,1000,1000,48,374,24,""Same length"",80,82,""Ring finger"",August,Fall,No,Yes,""No favorite"",Water,Art,7,10,3,""Yes - broadband connection"",""In person"",5,8,6,2,5,1,20,3,6,1,8,10,0,0,Some,""Graduate degree"",Other,Telepathy,Happy,Other,Environment"
"USA,VA,2011,""12        "",Female,18,Ambidextrous,172.7,25.4,172.7,3,Car,30,.625,59,Dancing,690,786,203,,1000,1000,25,""Left foot"",38,40,""Ring finger"",April,Spring,Yes,No,""Rice/Noodle dishes"",""Sports drink"",Other,6,4,4,""Yes - other"",""Cell phone"",1000,990,40,24,2,8,0,0,3,20,2,0,24,4,Some,""Graduate degree"",Other,Invisibility,Happy,""Business person"",""Education/Youth development"""
"USA,VA,2018,""4         "",Female,9,Right-Handed,,,,""1 "",Car,""5 "",959,46,Gymnastics,32,16,43,32,21,5,,,,,,,Fall,Yes,No,""No favorite"",""Soft drink (caffeinated)"",History,10,9,3,,,2,3,,,,,,,,,,,,,Some,""Graduate degree"",Country,Invisibility,Happy,Relative,""Arts, culture, sports"""
"USA,VA,2012,""12        "",Female,16,Right-Handed,154.5,22,154,1,Car,15,0.297,33,Soccer,999,999,999,999,999,999,22,""Same length"",7,7,""Same length"",November,Winter,No,No,Meat,Tea,English,7,,4,""Yes - other"",""Text messaging"",300,400,15,10,0,0,0,0,10,40,24,0,16,40,Some,""Graduate degree"",Country,Telepathy,Happy,Relative,""Wildlife, animals"""
"USA,VA,2022,""12        "",Male,17,Right-Handed,170,27,160,2,Car,15,0.291,44,Tennis,0,0,0,0,500,1000,27,""Same length"",69,67,""Ring finger"",December,Fall,Yes,No,Desserts,Water,""Mathematics and statistics"",5,10,2,""Yes - broadband connection"",""Cell phone"",21,18,2,2,,,,,,,,,,,,,,,,,"
"USA,VA,2016,""12        "",Male,17,Right-Handed,180,40,,1,Bus,10,0.371,41,Other,,,,,,,40,""Same length"",75,85,""Ring finger"",July,Fall,No,No,Other,Water,""Computers and technology"",6,4,6,""Yes - other"",Other,60,40,9,8,1,2,4,8,7,9,8,0,0,2,Some,""Graduate degree"",Techno/Electronic,""Freeze time"",Happy,Relative,""Education/Youth development"""
"USA,VA,2024,""5         "",Female,65,Left-Handed,177,27,165,3,Car,10,0.431,52,Cycling,750,750,750,500,600,600,27.5,""Left foot"",86,76,""Ring finger"",October,Summer,No,No,Pizza/Pasta,""Powdered drink"",Languages,7,8,1,""Yes - broadband connection"",""Text messaging"",10,12,6,2,7.5,0,8,5,5,4,50,8,50,4,""A lot"",""Graduate degree"",Country,Fly,Happy,Friend,Health"
"USA,VA,2016,""12        "",Female,17,Right-Handed,150,,,2,Bus,5,0.672,45,Tennis,,,,,,,30,,6.5,6,""Ring finger"",June,Winter,Yes,No,Breads/Sandwiches,Water,""Mathematics and statistics"",6,9,5,""Yes - other"",""Text messaging"",200,150,49,2,21,72,15,5,10,48,72,12,17,3,Some,""Graduate degree"",Pop,Fly,Happy,Friend,Health"
