Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2023,11,Male,17,Right-Handed,183 c,28 cm,190cm,1,Car,7 min,0.357,39.0,Basketball,765.0,759.0,765.0,781.0,444.0,439.0,26 cm,Right foot,50 mm,60 mm,Ring finger,February,Summer,Yes,No,Meat,Water,History,7,8,3.0,Yes - broadband connection,Text messaging,4,4,4,1,1,2,5,0,0,7,1,1,0.0,0,Some,High school,Rap/Hip hop,Invisibility,Happy,Sports person,Education/Youth development
USA,VA,2014,12,Male,17,Right-Handed,168,23,168,3,Car,5,0.313,34.0,Soccer,1000.0,900.0,750.0,1000.0,1000.0,1000.0,23,Same length,762,765,Ring finger,February,Winter,No,No,No favorite,Water,Mathematics and statistics,4,4,3.0,Yes - broadband connection,Text messaging,70,80,15,0,30,5,10,2,0,1,4,0,4.0,10,A lot,Graduate degree,Other,Fly,Happy,Relative,International aid
USA,VA,2012,11,Female,17,Right-Handed,155,22,155,1,Car,10,0.338,42.0,Swimming,968.0,984.0,995.0,973.0,1000.0,1000.0,22,Same length,70,52,Index finger,August,Fall,Yes,No,Desserts,Milk,History,7,10,4.0,Yes - broadband connection,Text messaging,150,150,2,.10,22,4,.30,0,.20,1,1,.30,5.0,2,Some,Graduate degree,Rock and roll,Freeze time,Happy,Teacher,Education/Youth development
USA,VA,2024,8,Female,13,Right-Handed,170,25,160,2,Bus,14,0.299,41.0,Gymnastics,727.0,551.0,843.0,930.0,973.0,947.0,23,Right foot,8,9,Ring finger,September,Summer,No,No,Other,Water,Mathematics and statistics,8,11,6.0,Yes - broadband connection,In person,0,0,5,2,4,14,9,14,4,2,70??,11,0.0,4,Some,Graduate degree,Gospel,Freeze time,Happy,Relative,International aid
USA,VA,2018,4,Female,17,Right-Handed,168,25,173,1,Bus,25,0.395,37.0,Walking/Hiking,400.0,500.0,300.0,300.0,200.0,600.0,25,Same length,70,75,Ring finger,May,Winter,Yes,No,Meat,Water,History,7.5,8,4.0,Yes - other,"Myspace, Facebook, other social networking sites, or blog",4,8,5,.5,13,2,12,0,5,2,10,3,0.0,0,Some,Graduate degree,Country,Invisibility,Happy,Relative,Education/Youth development
USA,VA,2024,8,Female,14,Right-Handed,160,24,159,2,Bus,25,0.237,39.0,Hockey (Field),0.0,0.0,0.0,0.0,500.0,1000.0,25,Left foot,80,65,Index finger,April,Summer,Yes,No,Pizza/Pasta,Water,History,10,13,5.0,Yes - broadband connection,Text messaging,40,75,50,3,0,8,14,12,20,4,40,0,0.0,2,Some,Graduate degree,Country,Freeze time,Rich,Relative,"Wildlife, animals"
USA,VA,2020,12,Female,17,Right-Handed,165,24,170,1,Car,12,0.481,39.0,Tennis,1000.0,1000.0,1000.0,1000.0,48.0,374.0,24,Same length,80,82,Ring finger,August,Fall,No,Yes,No favorite,Water,Art,7,10,3.0,Yes - broadband connection,In person,5,8,6,2,5,1,20,3,6,1,8,10,0.0,0,Some,Graduate degree,Other,Telepathy,Happy,Other,Environment
USA,VA,2022,12,Female,17,Right-Handed,5'5,15.4,7.8,2,Bus,10,0.298,31.0,Tennis,800.0,654.0,900.0,1000.0,558.0,600.0,15.4,Same length,50,60,Ring finger,April,Spring,Yes,No,Pizza/Pasta,Juice,History,6,6,4.0,Yes - broadband connection,Internet chat or instant messaging,50,40,2,10,20,3,0,30,20,20,70,10,0.0,0,A lot,Undergraduate degree,Other,Fly,Rich,Friend,Health
USA,VA,2017,5,Male,11,Left-Handed,142,23,140,1,Bus,5,0.817,49.0,Baseball/Softball,800.0,600.0,700.0,800.0,600.0,800.0,24,Left foot,40,70,Ring finger,April,Summer,No,No,Meat,Water,Physical education,9,10,4.0,Yes - broadband connection,In person,2,1,20,0,5,25,9,1,0,1, 5,2,1.0,1,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,Health
USA,VA,2023,12,Female,17,Right-Handed,161,22,160,1,Car,7,0.389,31.0,Other,1000.0,700.0,700.0,800.0,800.0,900.0,22,Same length,83,92,Ring finger,October,Fall,Yes,No,Pizza/Pasta,Sports drink,Music,7,10,5.0,Yes - broadband connection,Text messaging,105,117,1,1,7,5,2,16,4,4,40+,10,0.0,2,A lot,Graduate degree,Other,Telepathy,Rich,Other,"Wildlife, animals"
USA,VA,2015,12,Male,17,Left-Handed,170,24,165,1,Bus,20,0.3764,39.66,Cycling,813.0,49.0,155.0,529.0,652.0,652.0,24,Same length,85,85,Same length,March,Summer,Yes,No,Pizza/Pasta,Water,Computers and technology,7,10,4.0,Yes - broadband connection,Text messaging,7,10,5,1,10,3,10,8,0,2,10,2,10.0,4,A lot,Graduate degree,Other,Freeze time,Happy,Teacher,International aid
USA,VA,2016,12,Female,17,Right-Handed,154,21,154,1,Car,7,0.36,65.0,Soccer,800.0,800.0,860.0,800.0,900.0,1000.0,21,Same length,25,23,Index finger,October,Fall,No,No,Poultry,Water,English,7,10,3.0,Yes - broadband connection,Text messaging,100,100,10,1,4,6,2,0,5,4,3,2,2.0,1,Some,Graduate degree,Country,Invisibility,Happy,Relative,Health
USA,VA,2023,11,Female,16,Left-Handed,158,28,64,2,Car,18,0.31,38.0,Walking/Hiking,1000.0,1000.0,1000.0,1000.0,700.0,1000.0,28,Same length,7.9,7.3,Index finger,September,Fall,No,No,Poultry,Water,Science,6,10,4.0,Yes - other,Text messaging,88,95,14,16,14,10,18,6,25,10,40,0,12.0,4,Some,Graduate degree,Pop,Freeze time,Happy,Relative,Environment
USA,VA,2017,12,Female,17,Right-Handed,166,24,166,2,Car,25,0.426,36.0,Skateboarding/Rollerblading,560.0,690.0,700.0,600.0,900.0,1000.0,24,Same length,66,76,Ring finger,January,Winter,Yes,No,Rice/Noodle dishes,Soft drink (caffeinated),Other,5,6,4.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",600,600,7,3,5,0,0,4,20,20,35,1,40.0,1,A lot,High school,Heavy metal,Invisibility,Healthy,Friend,"Wildlife, animals"
USA,VA,2014,12,Male,15,Right-Handed,178,25,180,1,Car,10,0.393,52.0,Other,900.0,500.0,1000.0,1000.0,1000.0,1000.0,24,Right foot,70,73,Ring finger,February,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),History,7,10,4.0,Yes - broadband connection,Text messaging,6,7,6,1,12.5,7,0,10,9,2,15,3.5,0.0,7,A lot,Graduate degree,Pop,Telepathy,Rich,Politician,Health
USA,VA,2017,11,Female,16 ,Right-Handed,185.4,26,160,1 ,Car,7 ,0.78,52.0,Basketball,500.0,350.0,1000.0,940.0,700.0,570.0,25,Right foot,70 ,80 ,Ring finger,January,Summer,Yes,No,Meat,Water,History,7,10,5.0,Yes - broadband connection,Cell phone,70 ,150 ,3,7,10 ,2,21,0,15,7,8,6,0.0,0,A lot,Other,Rap/Hip hop,Telepathy,Happy,Relative,Health
USA,VA,2017,12,Male,18,Right-Handed,181,27,187,2,Car,15,0.369,47.0,Baseball/Softball,529.0,524.0,497.0,567.0,834.0,1000.0,27,Same length,82,93,Ring finger,February,Summer,Yes,No,Pizza/Pasta,Water,Physical education,7,10,5.0,Yes - broadband connection,Text messaging,97,112,11,1,7,9,16,2,15,40,20,20,0.0,6,Some,Graduate degree,Rap/Hip hop,Super strength,Rich,Sports person,"Arts, culture, sports"
